date demand demandChange inventoryPosition leadTime orderQuantity
2021-01-01 0 0 10000 72 0 
2021-01-02 0 0 10000 120 0 
2021-01-03 0 0 10000 72 0 
2021-01-04 0 0 10000 24 0 
2021-01-05 0 0 10000 0 0 
2021-01-06 0 0 10000 48 0 
2021-01-07 0 0 10000 168 0 
2021-01-08 0 0 10000 144 0 
2021-01-09 0 0 10000 48 0 
2021-01-10 2809 2809 7191 48 0 
2021-01-11 0 -2809 7191 48 0 
2021-01-12 0 0 7191 96 0 
2021-01-13 0 0 7191 48 0 
2021-01-14 0 0 7191 24 0 
2021-01-15 2423 2423 4768 72 0 
2021-01-16 0 -2423 4768 48 0 
2021-01-17 2282 2282 2486 24 1272 
2021-01-18 4837 2555 1473 72 3939 
2021-01-19 0 -4837 5412 0 0 
2021-01-20 0 0 5412 24 0 
2021-01-21 2431 2431 2981 72 2408 
2021-01-22 0 -2431 5389 120 0 
2021-01-23 2762 2762 2627 96 3297 
2021-01-24 2576 -186 51 48 6307 
2021-01-25 2290 -286 51 72 6648 
2021-01-26 2613 323 51 24 7008 
2021-01-27 4936 2323 51 72 7903 
2021-01-28 7753 2817 51 0 9350 
2021-01-29 8186 433 51 48 10700 
2021-01-30 8119 -67 51 96 12081 
2021-01-31 8116 -3 51 0 13254 
2021-02-01 8125 9 51 0 14323 
2021-02-02 8174 49 51 48 15262 
2021-02-03 8117 -57 51 48 16114 
2021-02-04 8139 22 51 96 17145 
2021-02-05 8107 -32 51 120 18352 
2021-02-06 8110 3 18403 120 0 
2021-02-07 8027 -83 18403 120 0 
2021-02-08 8071 44 18403 144 3608 
2021-02-09 8139 68 22011 96 0 
2021-02-10 8113 -26 13898 96 9671 
2021-02-11 0 -8113 23569 48 0 
2021-02-12 0 0 23569 96 0 
2021-02-13 2500 2500 21069 96 0 
2021-02-14 2565 65 18504 24 3592 
2021-02-15 2568 3 19528 96 0 
2021-02-16 2414 -154 17114 24 4675 
2021-02-17 0 -2414 21789 72 0 
2021-02-18 4683 4683 17106 48 4239 
2021-02-19 0 -4683 21345 72 0 
2021-02-20 5185 5185 16160 48 4836 
2021-02-21 0 -5185 20996 24 0 
2021-02-22 2616 2616 18380 24 0 
2021-02-23 0 -2616 18380 96 0 
2021-02-24 2636 2636 15744 96 4299 
2021-02-25 2305 -331 17738 120 0 
2021-02-26 0 -2305 17738 96 0 
2021-02-27 2240 2240 15498 48 4173 
2021-02-28 2463 223 17208 48 0 
2021-03-01 2653 190 14555 48 4841 
2021-03-02 5179 2526 14217 72 5342 
2021-03-03 0 -5179 19559 48 0 
2021-03-04 2698 2698 16861 120 0 
2021-03-05 2270 -428 14591 48 4577 
2021-03-06 0 -2270 19168 72 0 
2021-03-07 2361 2361 16807 72 0 
2021-03-08 4807 2446 12000 96 6950 
2021-03-09 0 -4807 18950 72 0 
2021-03-10 2284 2284 16666 48 0 
2021-03-11 2602 318 14064 24 4375 
2021-03-12 2503 -99 15936 24 0 
2021-03-13 0 -2503 15936 96 0 
2021-03-14 2316 2316 13620 96 4513 
2021-03-15 0 -2316 18133 72 0 
2021-03-16 2372 2372 15761 72 0 
2021-03-17 4911 2539 10850 24 7063 
2021-03-18 0 -4911 17913 96 0 
2021-03-19 0 0 17913 72 0 
2021-03-20 0 0 17913 48 0 
2021-03-21 2487 2487 15426 192 0 
2021-03-22 5033 2546 10393 48 7534 
2021-03-23 0 -5033 17927 72 0 
2021-03-24 0 0 17927 24 0 
2021-03-25 5139 5139 12788 120 4942 
