date demand demandChange inventoryPosition orderQuantity
2021-06-30 758 -4 1435 0 
2021-07-01 884 126 551 2407 
2021-07-02 415 -469 2543 0 
2021-07-03 1116 701 1427 0 
2021-07-04 812 -304 615 2345 
2021-07-05 734 -78 2226 0 
2021-07-06 1214 480 1012 0 
2021-07-07 821 -393 191 2777 
2021-07-08 786 -35 2182 0 
2021-07-09 807 21 1375 0 
2021-07-10 736 -71 639 2331 
2021-07-11 784 48 2186 0 
2021-07-12 1167 383 1019 0 
2021-07-13 1234 67 204 2779 
2021-07-14 428 -806 2555 0 
2021-07-15 396 -32 2159 0 
2021-07-16 766 370 1393 0 
2021-07-17 385 -381 1008 0 
2021-07-18 399 14 609 2358 
2021-07-19 344 -55 2623 0 
2021-07-20 1113 769 1510 0 
2021-07-21 1224 111 286 2687 
2021-07-22 367 -857 2606 0 
2021-07-23 430 63 2176 0 
2021-07-24 803 373 1373 0 
2021-07-25 1219 416 154 2818 
2021-07-26 1249 30 1723 0 
2021-07-27 1128 -121 595 2388 
2021-07-28 784 -344 2199 0 
2021-07-29 1174 390 1025 0 
2021-07-30 1197 23 229 2764 
2021-07-31 831 -366 2162 0 
2021-08-01 759 -72 1403 0 
2021-08-02 1189 430 214 2786 
2021-08-03 1192 3 1808 0 
2021-08-04 1319 127 489 2524 
2021-08-05 766 -553 2247 0 
2021-08-06 832 66 1415 0 
2021-08-07 0 -832 1415 0 
2021-08-08 875 875 540 2467 
2021-08-09 839 -36 2168 0 
2021-08-10 791 -48 1377 0 
2021-08-11 860 69 517 2493 
2021-08-12 1361 501 1649 0 
2021-08-13 0 -1361 1649 0 
2021-08-14 745 745 904 0 
2021-08-15 0 -745 904 0 
2021-08-16 382 382 522 2474 
2021-08-17 752 370 2244 0 
2021-08-18 727 -25 1517 0 
2021-08-19 0 -727 1517 0 
2021-08-20 811 811 706 2282 
2021-08-21 1157 346 1831 0 
2021-08-22 780 -377 1051 0 
2021-08-23 1189 409 268 2730 
2021-08-24 1166 -23 1832 0 
2021-08-25 1101 -65 731 2276 
2021-08-26 367 -734 2640 0 
2021-08-27 1095 728 1545 0 
2021-08-28 413 -682 1132 0 
2021-08-29 1325 912 263 2746 
2021-08-30 768 -557 2241 0 
2021-08-31 1183 415 1058 0 
2021-09-01 406 -777 652 2358 
2021-09-02 736 330 2274 0 
2021-09-03 1206 470 1068 0 
2021-09-04 1209 3 268 2752 
2021-09-05 0 -1209 3020 0 
2021-09-06 722 722 2298 0 
2021-09-07 716 -6 1582 0 
2021-09-08 443 -273 1139 0 
2021-09-09 387 -56 752 0 
2021-09-10 424 37 328 2674 
2021-09-11 1269 845 1733 0 
2021-09-12 403 -866 1330 0 
2021-09-13 828 425 502 2503 
2021-09-14 0 -828 3005 0 
2021-09-15 366 366 2639 0 
2021-09-16 1225 859 1414 0 
2021-09-17 1155 -70 259 2743 
2021-09-18 889 -266 2113 0 
2021-09-19 740 -149 1373 0 
2021-09-20 1170 430 203 2805 
2021-09-21 1135 -35 1873 0 
2021-09-22 763 -372 1110 0 
2021-09-23 1163 400 330 2686 
2021-09-24 1323 160 1693 0 
2021-09-25 367 -956 1326 0 
2021-09-26 470 103 856 0 
2021-09-27 442 -28 414 2598 
2021-09-28 812 370 2200 0 
2021-09-29 405 -407 1795 0 
2021-09-30 373 -32 1422 0 
2021-10-01 813 440 609 2397 
2021-10-02 809 -4 2197 0 
2021-10-03 855 46 1342 0 
2021-10-04 804 -51 538 2470 
2021-10-05 352 -452 2656 0 
2021-10-06 702 350 1954 0 
2021-10-07 1142 440 812 0 
2021-10-08 1201 59 26 2987 
2021-10-09 1313 112 1700 0 
2021-10-10 1271 -42 429 2594 
2021-10-11 1190 -81 1833 0 
2021-10-12 407 -783 1426 0 
2021-10-13 770 363 656 2367 
2021-10-14 849 79 2174 0 
2021-10-15 761 -88 1413 0 
2021-10-16 455 -306 958 0 
2021-10-17 1214 759 179 2847 
2021-10-18 865 -349 2161 0 
2021-10-19 379 -486 1782 0 
2021-10-20 751 372 1031 0 
2021-10-21 820 69 211 2813 
2021-10-22 1330 510 1694 0 
2021-10-23 1262 -68 432 2601 
2021-10-24 875 -387 2158 0 
2021-10-25 880 5 1278 0 
2021-10-26 370 -510 908 0 
2021-10-27 371 1 537 2492 
2021-10-28 1154 783 1875 0 
2021-10-29 363 -791 1512 0 
2021-10-30 774 411 738 2291 
2021-10-31 714 -60 2315 0 
2021-11-01 423 -291 1892 0 
2021-11-02 717 294 1175 0 
2021-11-03 796 79 379 2647 
2021-11-04 492 -304 2534 0 
2021-11-05 0 -492 2534 0 
2021-11-06 393 393 2141 0 
2021-11-07 1099 706 1042 0 
2021-11-08 1137 38 319 2702 
2021-11-09 1173 36 1848 0 
2021-11-10 1205 32 643 2385 
2021-11-11 425 -780 2603 0 
2021-11-12 400 -25 2203 0 
2021-11-13 401 1 1802 0 
2021-11-14 1148 747 654 2369 
2021-11-15 0 -1148 3023 0 
2021-11-16 847 847 2176 0 
2021-11-17 770 -77 1406 0 
2021-11-18 1136 366 270 2751 
2021-11-19 821 -315 2200 0 
2021-11-20 425 -396 1775 0 
2021-11-21 415 -10 1360 0 
2021-11-22 823 408 537 2480 
2021-11-23 1255 432 1762 0 
2021-11-24 795 -460 967 0 
2021-11-25 1196 401 171 2854 
2021-11-26 817 -379 2208 0 
2021-11-27 791 -26 1417 0 
2021-11-28 397 -394 1020 0 
2021-11-29 1110 713 280 2746 
2021-11-30 1164 54 1862 0 
2021-12-01 1141 -23 721 2310 
2021-12-02 1158 17 1873 0 
2021-12-03 1192 34 681 2357 
2021-12-04 458 -734 2580 0 
2021-12-05 823 365 1757 0 
2021-12-06 333 -490 1424 0 
2021-12-07 723 390 701 2332 
2021-12-08 739 16 2294 0 
2021-12-09 391 -348 1903 0 
2021-12-10 710 319 1193 0 
2021-12-11 433 -277 760 0 
2021-12-12 857 424 314 2714 
2021-12-13 806 -51 2222 0 
2021-12-14 1191 385 1031 0 
2021-12-15 411 -780 620 2409 
2021-12-16 868 457 2161 0 
2021-12-17 0 -868 2161 0 
2021-12-18 388 388 1773 0 
2021-12-19 0 -388 1773 0 
2021-12-20 726 726 1047 0 
2021-12-21 1190 464 188 2832 
2021-12-22 1150 -40 1870 0 
2021-12-23 714 -436 1156 0 
2021-12-24 765 51 391 2632 
2021-12-25 868 103 2155 0 
2021-12-26 717 -151 1438 0 
