date demand demandChange inventoryPosition orderQuantity
2021-06-29 841 -409 880 0 
2021-06-30 720 -121 160 2820 
2021-07-01 1227 507 1753 0 
2021-07-02 404 -823 1349 0 
2021-07-03 434 30 915 0 
2021-07-04 858 424 57 2923 
2021-07-05 1118 260 1862 0 
2021-07-06 710 -408 1152 0 
2021-07-07 689 -21 463 2520 
2021-07-08 0 -689 2983 0 
2021-07-09 802 802 2181 0 
2021-07-10 819 17 1362 0 
2021-07-11 1207 388 155 2827 
2021-07-12 402 -805 2580 0 
2021-07-13 0 -402 2580 0 
2021-07-14 414 414 2166 0 
2021-07-15 818 404 1348 0 
2021-07-16 771 -47 577 2389 
2021-07-17 825 54 2141 0 
2021-07-18 396 -429 1745 0 
2021-07-19 833 437 912 0 
2021-07-20 797 -36 115 2850 
2021-07-21 416 -381 2549 0 
2021-07-22 392 -24 2157 0 
2021-07-23 436 44 1721 0 
2021-07-24 766 330 955 0 
2021-07-25 743 -23 212 2743 
2021-07-26 834 91 2121 0 
2021-07-27 348 -486 1773 0 
2021-07-28 1085 737 688 2267 
2021-07-29 1237 152 1718 0 
2021-07-30 370 -867 1348 0 
2021-07-31 771 401 577 2381 
2021-08-01 785 14 2173 0 
2021-08-02 0 -785 2173 0 
2021-08-03 440 440 1733 0 
2021-08-04 1159 719 574 2378 
2021-08-05 1261 102 1691 0 
2021-08-06 1061 -200 630 2332 
2021-08-07 705 -356 2257 0 
2021-08-08 375 -330 1882 0 
2021-08-09 1169 794 713 2250 
2021-08-10 755 -414 2208 0 
2021-08-11 348 -407 1860 0 
2021-08-12 713 365 1147 0 
2021-08-13 1199 486 349 2616 
2021-08-14 404 -795 2561 0 
2021-08-15 401 -3 2160 0 
2021-08-16 437 36 1723 0 
2021-08-17 775 338 948 0 
2021-08-18 424 -351 524 2428 
2021-08-19 854 430 2098 0 
2021-08-20 394 -460 1704 0 
2021-08-21 883 489 821 0 
2021-08-22 0 -883 821 0 
2021-08-23 1163 1163 25 2922 
2021-08-24 1266 103 1681 0 
2021-08-25 320 -946 1361 0 
2021-08-26 1228 908 133 2822 
2021-08-27 793 -435 2162 0 
2021-08-28 1277 484 885 0 
2021-08-29 440 -837 445 2513 
2021-08-30 802 362 2156 0 
2021-08-31 1151 349 1005 0 
2021-09-01 1167 16 165 2803 
2021-09-02 354 -813 2614 0 
2021-09-03 0 -354 2614 0 
2021-09-04 776 776 1838 0 
2021-09-05 418 -358 1420 0 
2021-09-06 1161 743 259 2699 
2021-09-07 419 -742 2539 0 
2021-09-08 728 309 1811 0 
2021-09-09 797 69 1014 0 
2021-09-10 384 -413 630 2323 
2021-09-11 0 -384 2953 0 
2021-09-12 710 710 2243 0 
2021-09-13 1260 550 983 0 
2021-09-14 790 -470 193 2759 
2021-09-15 793 3 2159 0 
2021-09-16 419 -374 1740 0 
2021-09-17 905 486 835 0 
2021-09-18 841 -64 392 2560 
2021-09-19 1119 278 1833 0 
2021-09-20 1319 200 514 2448 
2021-09-21 379 -940 135 2823 
2021-09-22 406 27 2552 0 
2021-09-23 334 -72 2218 0 
2021-09-24 1146 812 1072 0 
2021-09-25 372 -774 700 2252 
2021-09-26 1192 820 1760 0 
2021-09-27 1148 -44 612 2348 
2021-09-28 466 -682 2494 0 
2021-09-29 432 -34 2062 0 
2021-09-30 793 361 1269 0 
2021-10-01 339 -454 930 0 
2021-10-02 769 430 161 2792 
2021-10-03 829 60 2124 0 
2021-10-04 1083 254 1041 0 
2021-10-05 858 -225 183 2775 
2021-10-06 323 -535 2635 0 
2021-10-07 1251 928 1384 0 
2021-10-08 802 -449 582 2378 
2021-10-09 1067 265 227 2736 
2021-10-10 1186 119 1777 0 
