date demand demandChange inventoryPosition orderQuantity
2021-01-01 358 0 9642 0 
2021-01-02 440 82 9202 0 
2021-01-03 436 -4 8766 0 
2021-01-04 833 397 7933 0 
2021-01-05 888 55 7045 0 
2021-01-06 1268 380 5777 0 
2021-01-07 785 -483 4992 0 
2021-01-08 1190 405 3802 0 
2021-01-09 401 -789 3401 0 
2021-01-10 0 -401 3401 0 
2021-01-11 1266 1266 2135 0 
2021-01-12 368 -898 1767 0 
2021-01-13 833 465 934 0 
2021-01-14 903 70 31 2895 
2021-01-15 416 -487 2510 0 
2021-01-16 1283 867 1227 0 
2021-01-17 0 -1283 1227 0 
2021-01-18 1063 1063 164 2750 
2021-01-19 776 -287 2138 0 
2021-01-20 1185 409 953 0 
2021-01-21 443 -742 510 2437 
2021-01-22 838 395 76 2886 
2021-01-23 850 12 2112 0 
2021-01-24 829 -21 1283 0 
2021-01-25 1235 406 48 2988 
2021-01-26 1179 -56 48 3028 
2021-01-27 842 -337 48 3035 
2021-01-28 819 -23 48 3038 
2021-01-29 784 -35 48 3040 
2021-01-30 1236 452 48 3077 
2021-01-31 1302 66 48 3118 
2021-02-01 887 -415 48 3124 
2021-02-02 323 -564 48 3087 
2021-02-03 1122 799 48 3111 
2021-02-04 417 -705 48 3084 
2021-02-05 767 350 2365 0 
2021-02-06 772 5 1593 0 
2021-02-07 1167 395 426 2727 
2021-02-08 1275 108 1878 0 
2021-02-09 382 -893 1496 0 
2021-02-10 715 333 781 2369 
2021-02-11 792 77 2358 0 
2021-02-12 1323 531 1035 0 
2021-02-13 419 -904 616 2542 
2021-02-14 428 9 2730 0 
2021-02-15 1035 607 1695 0 
2021-02-16 892 -143 803 2352 
2021-02-17 825 -67 2330 0 
2021-02-18 736 -89 1594 0 
2021-02-19 1128 392 466 2703 
2021-02-20 338 -790 2831 0 
2021-02-21 879 541 1952 0 
2021-02-22 364 -515 1588 0 
2021-02-23 437 73 1151 0 
2021-02-24 771 334 380 2732 
2021-02-25 443 -328 2669 0 
2021-02-26 0 -443 2669 0 
2021-02-27 446 446 2223 0 
2021-02-28 416 -30 1807 0 
2021-03-01 1217 801 590 2463 
2021-03-02 0 -1217 3053 0 
2021-03-03 1229 1229 1824 0 
2021-03-04 772 -457 1052 0 
2021-03-05 0 -772 1052 0 
2021-03-06 369 369 683 2315 
2021-03-07 759 390 2239 0 
2021-03-08 872 113 1367 0 
2021-03-09 748 -124 619 2384 
2021-03-10 813 65 2190 0 
2021-03-11 794 -19 1396 0 
2021-03-12 1129 335 267 2754 
2021-03-13 1222 93 1799 0 
2021-03-14 835 -387 964 0 
2021-03-15 486 -349 478 2553 
2021-03-16 0 -486 3031 0 
2021-03-17 789 789 2242 0 
2021-03-18 1224 435 1018 0 
2021-03-19 1141 -83 278 2758 
2021-03-20 864 -277 2172 0 
2021-03-21 430 -434 1742 0 
2021-03-22 412 -18 1330 0 
2021-03-23 792 380 538 2482 
2021-03-24 1109 317 1911 0 
2021-03-25 770 -339 1141 0 
2021-03-26 384 -386 757 0 
2021-03-27 863 479 298 2725 
2021-03-28 759 -104 2264 0 
2021-03-29 847 88 1417 0 
2021-03-30 827 -20 590 2439 
2021-03-31 765 -62 2264 0 
2021-04-01 1071 306 1193 0 
2021-04-02 1133 62 60 2988 
2021-04-03 0 -1133 3048 0 
2021-04-04 804 804 2244 0 
2021-04-05 1173 369 1071 0 
2021-04-06 749 -424 322 2718 
2021-04-07 770 21 2270 0 
2021-04-08 801 31 1469 0 
2021-04-09 826 25 643 2400 
2021-04-10 1195 369 1848 0 
2021-04-11 741 -454 1107 0 
2021-04-12 1083 342 24 3037 
2021-04-13 1211 128 1850 0 
2021-04-14 316 -895 1534 0 
2021-04-15 435 119 1099 0 
2021-04-16 778 343 321 2733 
2021-04-17 760 -18 2294 0 
2021-04-18 381 -379 1913 0 
2021-04-19 399 18 1514 0 
2021-04-20 823 424 691 2347 
2021-04-21 433 -390 2605 0 
2021-04-22 441 8 2164 0 
