date demand demandChange inventoryPosition leadTime orderQuantity
2021-01-01 0 0 10000 24 0 
2021-01-02 0 0 10000 24 0 
2021-01-03 0 0 10000 0 0 
2021-01-04 0 0 10000 24 0 
2021-01-05 0 0 10000 48 0 
2021-01-06 0 0 10000 24 0 
2021-01-07 0 0 10000 72 0 
2021-01-08 0 0 10000 48 0 
2021-01-09 0 0 10000 24 0 
2021-01-10 0 0 10000 0 0 
2021-01-11 3276 3276 6724 0 0 
2021-01-12 0 -3276 6724 0 0 
2021-01-13 0 0 6724 24 0 
2021-01-14 7915 7915 1543 0 2030 
2021-01-15 0 -7915 3573 24 0 
2021-01-16 2519 2519 1054 0 2625 
2021-01-17 0 -2519 3679 24 0 
2021-01-18 2750 2750 929 96 3443 
2021-01-19 5544 2794 4372 48 0 
2021-01-20 5902 358 4372 48 0 
2021-01-21 8347 2445 4372 0 3001 
2021-01-22 8751 404 1486 24 6923 
2021-01-23 0 -8751 1486 48 6666 
2021-01-24 0 0 1486 72 6664 
2021-01-25 2988 2988 1486 24 6741 
2021-01-26 8801 5813 1486 144 9303 
2021-01-27 8827 26 1486 48 10329 
2021-01-28 8754 -73 1486 24 11150 
2021-01-29 8762 8 1486 72 12227 
2021-01-30 8805 43 1486 96 13599 
2021-01-31 8847 42 1486 48 14352 
2021-02-01 8822 -25 1486 24 14943 
2021-02-02 8764 -58 1486 24 15469 
2021-02-03 8729 -35 1486 24 15943 
2021-02-04 8675 -54 8754 24 9099 
2021-02-05 0 -8675 8754 24 8498 
2021-02-06 0 0 17252 48 0 
2021-02-07 2727 2727 14525 24 0 
2021-02-08 4839 2112 9686 24 6857 
2021-02-09 0 -4839 16543 0 0 
2021-02-10 2369 2369 14174 24 0 
2021-02-11 2266 -103 11908 120 4687 
2021-02-12 2315 49 14280 48 0 
2021-02-13 2542 227 11738 48 4567 
2021-02-14 2268 -274 14037 72 0 
2021-02-15 0 -2268 14037 24 0 
2021-02-16 4969 4969 9068 24 6862 
2021-02-17 0 -4969 15930 24 0 
