date demand demandChange inventoryPosition leadTime orderQuantity
2021-01-01 0 0 10000 48 0 
2021-01-02 0 0 10000 120 0 
2021-01-03 0 0 10000 24 0 
2021-01-04 0 0 10000 72 0 
2021-01-05 0 0 10000 72 0 
2021-01-06 0 0 10000 96 0 
2021-01-07 0 0 10000 48 0 
2021-01-08 0 0 10000 48 0 
2021-01-09 0 0 10000 72 0 
2021-01-10 0 0 10000 48 0 
2021-01-11 0 0 10000 72 0 
2021-01-12 0 0 10000 96 0 
2021-01-13 2728 2728 7272 72 0 
2021-01-14 2654 -74 4618 120 0 
2021-01-15 0 -2654 4618 72 0 
2021-01-16 7980 7980 2107 72 3564 
2021-01-17 0 -7980 5671 24 0 
2021-01-18 0 0 5671 96 0 
2021-01-19 5810 5810 2741 72 3932 
2021-01-20 2068 -3742 4605 48 2301 
2021-01-21 0 -2068 4605 24 2004 
2021-01-22 0 0 6609 120 0 
2021-01-23 0 0 6609 168 0 
2021-01-24 0 0 6609 48 0 
2021-01-25 7318 7318 1555 96 6610 
2021-01-26 0 -7318 1555 48 6263 
2021-01-27 0 0 1555 72 5959 
2021-01-28 4889 4889 1555 168 7298 
2021-01-29 5345 456 1555 48 8153 
2021-01-30 5288 -57 1555 48 8916 
2021-01-31 7506 2218 1555 96 10154 
2021-02-01 7918 412 1555 72 11305 
2021-02-02 7881 -37 1555 96 12444 
2021-02-03 7943 62 1555 48 13413 
2021-02-04 7974 31 1555 48 14308 
2021-02-05 7999 25 1555 96 15265 
2021-02-06 8054 55 16820 72 0 
2021-02-07 8108 54 16820 48 0 
2021-02-08 8131 23 16820 216 4120 
2021-02-09 8179 48 12761 96 9002 
2021-02-10 0 -8179 12761 144 8879 
2021-02-11 0 0 12761 48 8266 
2021-02-12 5443 5443 15584 264 8094 
2021-02-13 2468 -2975 21210 48 0 
2021-02-14 0 -2468 21210 72 0 
2021-02-15 2452 2452 18758 216 5000 
2021-02-16 2293 -159 16465 120 7220 
2021-02-17 0 -2293 23685 72 0 
2021-02-18 2530 2530 21155 120 0 
2021-02-19 2973 443 18182 24 4808 
2021-02-20 0 -2973 22990 96 0 
2021-02-21 4871 4871 18119 0 4663 
2021-02-22 2882 -1989 19900 48 0 
2021-02-23 0 -2882 19900 96 0 
