date demand demandChange inventoryPosition orderQuantity
2021-01-01 542 0 9458 0 
2021-01-02 614 72 8844 0 
2021-01-03 703 89 8141 0 
2021-01-04 1431 728 6710 0 
2021-01-05 479 -952 6231 0 
2021-01-06 878 399 5353 0 
2021-01-07 821 -57 4532 0 
2021-01-08 416 -405 4116 0 
2021-01-09 866 450 3250 0 
2021-01-10 820 -46 2430 0 
2021-01-11 1061 241 1369 0 
2021-01-12 786 -275 583 2525 
2021-01-13 824 38 2284 0 
2021-01-14 912 88 1372 0 
2021-01-15 1217 305 155 3052 
2021-01-16 1050 -167 2157 0 
2021-01-17 448 -602 1709 0 
2021-01-18 818 370 891 0 
2021-01-19 806 -12 85 3099 
2021-01-20 951 145 2233 0 
2021-01-21 468 -483 1765 0 
2021-01-22 807 339 958 0 
2021-01-23 717 -90 241 2909 
2021-01-24 932 215 241 2922 
2021-01-25 761 -171 2402 0 
2021-01-26 612 -149 1790 0 
2021-01-27 633 21 1157 0 
2021-01-28 445 -188 712 2383 
2021-01-29 479 34 2616 0 
2021-01-30 611 132 2005 0 
2021-01-31 956 345 1049 0 
2021-02-01 303 -653 746 2289 
2021-02-02 1018 715 2017 0 
2021-02-03 1076 58 941 0 
2021-02-04 1213 137 153 2956 
2021-02-05 370 -843 2739 0 
2021-02-06 531 161 2208 0 
2021-02-07 818 287 1390 0 
2021-02-08 1243 425 147 2951 
2021-02-09 1483 240 1615 0 
2021-02-10 802 -681 813 0 
2021-02-11 566 -236 247 2881 
2021-02-12 404 -162 2724 0 
2021-02-13 1045 641 1679 0 
2021-02-14 865 -180 814 0 
2021-02-15 255 -610 559 2536 
2021-02-16 0 -255 3095 0 
2021-02-17 446 446 2649 0 
2021-02-18 790 344 1859 0 
2021-02-19 659 -131 1200 0 
2021-02-20 0 -659 1200 0 
2021-02-21 939 939 261 2746 
2021-02-22 1287 348 1720 0 
2021-02-23 685 -602 1035 0 
2021-02-24 99 -586 880 0 
2021-02-25 135 36 745 0 
2021-02-26 320 185 425 2529 
2021-02-27 787 467 2167 0 
2021-02-28 497 -290 1670 0 
2021-03-01 1063 566 607 2355 
2021-03-02 735 -328 2227 0 
2021-03-03 196 -539 2031 0 
2021-03-04 572 376 1459 0 
2021-03-05 517 -55 942 0 
2021-03-06 461 -56 481 2435 
2021-03-07 465 4 2451 0 
2021-03-08 458 -7 1993 0 
2021-03-09 0 -458 1993 0 
2021-03-10 1272 1272 721 0 
2021-03-11 615 -657 106 2783 
2021-03-12 463 -152 106 2775 
2021-03-13 424 -39 106 2765 
2021-03-14 580 156 106 2761 
2021-03-15 301 -279 2566 0 
2021-03-16 270 -31 2296 0 
2021-03-17 893 623 1403 0 
2021-03-18 509 -384 894 0 
2021-03-19 1007 498 351 2501 
2021-03-20 296 -711 2556 0 
2021-03-21 554 258 2002 0 
2021-03-22 310 -244 1692 0 
2021-03-23 611 301 1081 0 
2021-03-24 1289 678 242 2599 
2021-03-25 324 -965 2517 0 
2021-03-26 1315 991 1202 0 
2021-03-27 353 -962 849 0 
2021-03-28 813 460 36 2808 
2021-03-29 560 -253 2284 0 
2021-03-30 990 430 1294 0 
2021-03-31 1258 268 36 2829 
2021-04-01 1434 176 1431 0 
2021-04-02 1337 -97 94 2810 
2021-04-03 364 -973 94 2801 
2021-04-04 1612 1248 94 2826 
