date demand demandChange inventoryPosition orderQuantity
2021-01-01 0 0 10000 0 
2021-01-02 0 0 10000 0 
2021-01-03 1205 1205 8795 0 
2021-01-04 1236 31 7559 0 
2021-01-05 835 -401 6724 0 
2021-01-06 1169 334 5555 0 
2021-01-07 785 -384 4770 0 
2021-01-08 1197 412 3573 0 
2021-01-09 727 -470 2846 0 
2021-01-10 1219 492 1627 0 
2021-01-11 1164 -55 463 2846 
2021-01-12 802 -362 2507 0 
2021-01-13 819 17 1688 0 
2021-01-14 413 -406 1275 0 
2021-01-15 827 414 448 2763 
2021-01-16 374 -453 2837 0 
2021-01-17 800 426 2037 0 
2021-01-18 814 14 1223 0 
2021-01-19 386 -428 837 0 
2021-01-20 400 14 437 2606 
2021-01-21 319 -81 118 2872 
2021-01-22 727 408 118 2872 
2021-01-23 1214 487 118 2923 
2021-01-24 780 -434 118 2926 
2021-01-25 1224 444 118 2972 
2021-01-26 387 -837 118 2935 
2021-01-27 1132 745 118 2969 
2021-01-28 1304 172 118 3015 
2021-01-29 0 -1304 118 2948 
2021-01-30 1232 1232 118 2987 
2021-01-31 1244 12 118 3023 
2021-02-01 407 -837 118 2993 
2021-02-02 1344 937 118 3035 
2021-02-03 444 -900 2709 0 
2021-02-04 813 369 1896 0 
2021-02-05 1191 378 705 2450 
2021-02-06 371 -820 2784 0 
2021-02-07 446 75 2338 0 
2021-02-08 916 470 1422 0 
2021-02-09 1295 379 127 3017 
2021-02-10 420 -875 2724 0 
2021-02-11 833 413 1891 0 
2021-02-12 1262 429 629 2521 
2021-02-13 848 -414 2302 0 
2021-02-14 402 -446 1900 0 
2021-02-15 316 -86 1584 0 
2021-02-16 0 -316 1584 0 
2021-02-17 783 783 801 0 
2021-02-18 794 11 7 3059 
2021-02-19 780 -14 2286 0 
2021-02-20 315 -465 1971 0 
2021-02-21 437 122 1534 0 
2021-02-22 872 435 662 2373 
2021-02-23 371 -501 2664 0 
2021-02-24 886 515 1778 0 
2021-02-25 699 -187 1079 0 
2021-02-26 752 53 327 2694 
2021-02-27 763 11 2258 0 
2021-02-28 727 -36 1531 0 
2021-03-01 388 -339 1143 0 
2021-03-02 780 392 363 2644 
2021-03-03 364 -416 2643 0 
2021-03-04 767 403 1876 0 
2021-03-05 822 55 1054 0 
2021-03-06 861 39 193 2807 
2021-03-07 373 -488 2627 0 
2021-03-08 1212 839 1415 0 
2021-03-09 387 -825 1028 0 
2021-03-10 830 443 198 2797 
2021-03-11 427 -403 2568 0 
2021-03-12 1296 869 1272 0 
2021-03-13 898 -398 374 2634 
2021-03-14 0 -898 3008 0 
2021-03-15 0 0 3008 0 
2021-03-16 837 837 2171 0 
2021-03-17 815 -22 1356 0 
2021-03-18 1245 430 111 2871 
2021-03-19 763 -482 2219 0 
2021-03-20 762 -1 1457 0 
2021-03-21 884 122 573 2415 
2021-03-22 841 -43 2147 0 
2021-03-23 423 -418 1724 0 
2021-03-24 806 383 918 0 
2021-03-25 429 -377 489 2486 
2021-03-26 755 326 2220 0 
2021-03-27 698 -57 1522 0 
2021-03-28 829 131 693 2284 
2021-03-29 0 -829 2977 0 
2021-03-30 750 750 2227 0 
2021-03-31 336 -414 1891 0 
2021-04-01 1245 909 646 2314 
2021-04-02 1199 -46 1761 0 
2021-04-03 1289 90 472 2516 
2021-04-04 0 -1289 2988 0 
2021-04-05 816 816 2172 0 
2021-04-06 1277 461 895 0 
2021-04-07 447 -830 448 2530 
2021-04-08 822 375 2156 0 
2021-04-09 406 -416 1750 0 
2021-04-10 443 37 1307 0 
2021-04-11 349 -94 958 0 
2021-04-12 1239 890 171 2797 
2021-04-13 407 -832 2561 0 
2021-04-14 1212 805 1349 0 
2021-04-15 380 -832 969 0 
2021-04-16 380 0 589 2366 
2021-04-17 1135 755 1820 0 
2021-04-18 912 -223 908 0 
2021-04-19 0 -912 908 0 
2021-04-20 1254 1254 98 2867 
2021-04-21 821 -433 2144 0 
2021-04-22 824 3 1320 0 
2021-04-23 1280 456 40 2941 
2021-04-24 1239 -41 1742 0 
2021-04-25 1187 -52 555 2448 
2021-04-26 890 -297 2113 0 
2021-04-27 804 -86 1309 0 
2021-04-28 719 -85 590 2416 
2021-04-29 1211 492 1795 0 
2021-04-30 430 -781 1365 0 
2021-05-01 798 368 567 2444 
2021-05-02 1284 486 1727 0 
2021-05-03 793 -491 934 0 
2021-05-04 1136 343 226 2804 
2021-05-05 866 -270 2164 0 
2021-05-06 800 -66 1364 0 
2021-05-07 1301 501 63 2982 
2021-05-08 876 -425 2169 0 
2021-05-09 1215 339 954 0 
2021-05-10 912 -303 42 3016 
2021-05-11 819 -93 2239 0 
2021-05-12 372 -447 1867 0 
2021-05-13 1267 895 600 2461 
2021-05-14 767 -500 2294 0 
2021-05-15 0 -767 2294 0 
2021-05-16 373 373 1921 0 
2021-05-17 1352 979 569 2482 
2021-05-18 1274 -78 1777 0 
2021-05-19 0 -1274 1777 0 
2021-05-20 464 464 1313 0 
2021-05-21 0 -464 1313 0 
2021-05-22 1238 1238 75 2961 
2021-05-23 363 -875 2673 0 
2021-05-24 430 67 2243 0 
2021-05-25 734 304 1509 0 
2021-05-26 721 -13 788 0 
2021-05-27 812 91 338 2686 
2021-05-28 864 52 2160 0 
2021-05-29 837 -27 1323 0 
2021-05-30 878 41 445 2585 
2021-05-31 431 -447 2599 0 
2021-06-01 1108 677 1491 0 
2021-06-02 811 -297 680 2351 
2021-06-03 1209 398 1822 0 
2021-06-04 423 -786 1399 0 
2021-06-05 794 371 605 2428 
2021-06-06 791 -3 2242 0 
2021-06-07 1095 304 1147 0 
2021-06-08 813 -282 334 2707 
2021-06-09 1148 335 1893 0 
2021-06-10 1013 -135 880 0 
2021-06-11 746 -267 134 2916 
2021-06-12 818 72 2232 0 
2021-06-13 902 84 1330 0 
2021-06-14 777 -125 553 2500 
2021-06-15 307 -470 2746 0 
2021-06-16 379 72 2367 0 
2021-06-17 1262 883 1105 0 
2021-06-18 1162 -100 345 2710 
2021-06-19 823 -339 2232 0 
2021-06-20 1296 473 936 0 
2021-06-21 1283 -13 73 2998 
2021-06-22 1312 29 1759 0 
2021-06-23 847 -465 912 0 
2021-06-24 747 -100 165 2914 
2021-06-25 1203 456 1876 0 
2021-06-26 414 -789 1462 0 
2021-06-27 395 -19 1067 0 
2021-06-28 445 50 622 2448 
2021-06-29 751 306 2319 0 
2021-06-30 1198 447 1121 0 
2021-07-01 1074 -124 47 3033 
2021-07-02 813 -261 2267 0 
2021-07-03 876 63 1391 0 
2021-07-04 895 19 496 2587 
2021-07-05 434 -461 2649 0 
2021-07-06 0 -434 2649 0 
2021-07-07 1181 1181 1468 0 
2021-07-08 778 -403 690 2384 
2021-07-09 777 -1 2297 0 
2021-07-10 1240 463 1057 0 
2021-07-11 1108 -132 317 2768 
2021-07-12 885 -223 2200 0 
2021-07-13 0 -885 2200 0 
2021-07-14 764 764 1436 0 
2021-07-15 828 64 608 2469 
2021-07-16 808 -20 2269 0 
2021-07-17 422 -386 1847 0 
2021-07-18 832 410 1015 0 
2021-07-19 325 -507 690 2378 
2021-07-20 727 402 2341 0 
2021-07-21 779 52 1562 0 
2021-07-22 396 -383 1166 0 
2021-07-23 862 466 304 2761 
2021-07-24 1189 327 1876 0 
2021-07-25 377 -812 1499 0 
2021-07-26 387 10 1112 0 
2021-07-27 1267 880 291 2775 
2021-07-28 853 -414 2213 0 
2021-07-29 362 -491 1851 0 
2021-07-30 368 6 1483 0 
2021-07-31 847 479 636 2422 
2021-08-01 1197 350 1861 0 
2021-08-02 801 -396 1060 0 
2021-08-03 1133 332 255 2813 
2021-08-04 784 -349 2284 0 
2021-08-05 914 130 1370 0 
2021-08-06 1170 256 200 2875 
2021-08-07 749 -421 200 2875 
2021-08-08 902 153 2173 0 
2021-08-09 774 -128 1399 0 
2021-08-10 717 -57 682 2393 
2021-08-11 1262 545 1813 0 
2021-08-12 773 -489 1040 0 
2021-08-13 826 53 214 2867 
2021-08-14 826 0 2255 0 
2021-08-15 375 -451 1880 0 
2021-08-16 835 460 1045 0 
2021-08-17 1133 298 305 2778 
2021-08-18 469 -664 2614 0 
2021-08-19 782 313 1832 0 
2021-08-20 915 133 917 0 
2021-08-21 1135 220 195 2890 
2021-08-22 407 -728 2678 0 
2021-08-23 1098 691 1580 0 
2021-08-24 771 -327 809 0 
2021-08-25 1316 545 373 2717 
2021-08-26 1214 -102 1876 0 
2021-08-27 1042 -172 834 0 
2021-08-28 747 -295 87 3009 
2021-08-29 1158 411 1938 0 
2021-08-30 0 -1158 1938 0 
2021-08-31 821 821 1117 0 
2021-09-01 0 -821 1117 0 
2021-09-02 446 446 671 2410 
2021-09-03 846 400 2235 0 
2021-09-04 403 -443 1832 0 
2021-09-05 380 -23 1452 0 
2021-09-06 433 53 1019 0 
2021-09-07 399 -34 620 2448 
2021-09-08 1256 857 1812 0 
2021-09-09 1205 -51 607 2469 
2021-09-10 780 -425 2296 0 
2021-09-11 1056 276 1240 0 
2021-09-12 866 -190 374 2707 
2021-09-13 1188 322 1893 0 
2021-09-14 736 -452 1157 0 
2021-09-15 805 69 352 2733 
2021-09-16 782 -23 2303 0 
2021-09-17 297 -485 2006 0 
2021-09-18 1200 903 806 0 
2021-09-19 1091 -109 97 2990 
2021-09-20 845 -246 2242 0 
2021-09-21 804 -41 1438 0 
2021-09-22 788 -16 650 2438 
2021-09-23 838 50 2250 0 
2021-09-24 751 -87 1499 0 
2021-09-25 1291 540 208 2885 
2021-09-26 790 -501 2303 0 
2021-09-27 827 37 1476 0 
2021-09-28 376 -451 1100 0 
2021-09-29 807 431 293 2797 
2021-09-30 0 -807 3090 0 
2021-10-01 758 758 2332 0 
2021-10-02 753 -5 1579 0 
2021-10-03 850 97 729 2354 
2021-10-04 782 -68 2301 0 
2021-10-05 785 3 1516 0 
2021-10-06 1316 531 200 2888 
2021-10-07 713 -603 2375 0 
2021-10-08 738 25 1637 0 
2021-10-09 423 -315 1214 0 
2021-10-10 1199 776 15 3073 
2021-10-11 331 -868 2757 0 
2021-10-12 360 29 2397 0 
2021-10-13 1185 825 1212 0 
2021-10-14 0 -1185 1212 0 
2021-10-15 410 410 802 0 
2021-10-16 338 -72 464 2607 
2021-10-17 909 571 2162 0 
2021-10-18 769 -140 1393 0 
2021-10-19 750 -19 643 2428 
2021-10-20 856 106 2215 0 
2021-10-21 1244 388 971 0 
