date demand demandChange inventoryPosition leadTime orderQuantity
2021-01-01 0 0 10000 24 0 
2021-01-02 0 0 10000 24 0 
2021-01-03 0 0 10000 96 0 
2021-01-04 0 0 10000 48 0 
2021-01-05 0 0 10000 96 0 
2021-01-06 0 0 10000 0 0 
2021-01-07 0 0 10000 24 0 
2021-01-08 0 0 10000 24 0 
2021-01-09 0 0 10000 72 0 
2021-01-10 0 0 10000 0 0 
2021-01-11 0 0 10000 0 0 
2021-01-12 2430 2430 7570 24 0 
2021-01-13 0 -2430 7570 24 0 
2021-01-14 5361 5361 2209 0 0 
2021-01-15 2706 -2655 2209 24 1792 
2021-01-16 3070 364 931 0 3671 
2021-01-17 2453 -617 2149 48 2866 
2021-01-18 0 -2453 5015 96 0 
2021-01-19 5036 5036 2624 0 3395 
2021-01-20 0 -5036 2624 24 3061 
2021-01-21 2453 2453 3232 48 2736 
2021-01-22 2648 195 584 48 5677 
2021-01-23 2447 -201 584 144 6744 
2021-01-24 5697 3250 584 24 7572 
2021-01-25 5623 -74 584 0 8294 
2021-01-26 8581 2958 584 72 9676 
2021-01-27 8632 51 584 0 10755 
2021-01-28 8628 -4 584 24 11707 
2021-01-29 8731 103 584 0 12581 
2021-01-30 8728 -3 584 48 13457 
2021-01-31 8746 18 584 24 14166 
2021-02-01 8751 5 584 48 14912 
2021-02-02 8755 4 584 0 15507 
2021-02-03 8745 -10 7346 24 9277 
2021-02-04 0 -8745 7346 24 8700 
2021-02-05 0 0 7346 0 8164 
2021-02-06 0 0 15510 48 0 
2021-02-07 4951 4951 10559 24 4613 
2021-02-08 2469 -2482 12703 24 0 
2021-02-09 0 -2469 12703 0 0 
2021-02-10 0 0 12703 24 0 
2021-02-11 4814 4814 7889 96 6809 
2021-02-12 0 -4814 14698 48 0 
2021-02-13 2723 2723 11975 24 0 
2021-02-14 2686 -37 9289 24 4818 
2021-02-15 0 -2686 14107 24 0 
2021-02-16 4795 4795 9312 24 4500 
2021-02-17 0 -4795 13812 24 0 
