Iteration FitnessValue ScCosts FR
0 0.7544638321254236 376699.8700000002 1.0
1 0.7544638321254236 376699.8700000002 1.0
2 0.7544638321254236 376699.8700000002 1.0
3 0.7544638321254236 376699.8700000002 1.0
4 0.7544638321254236 376699.8700000002 1.0
5 0.7544638321254236 376699.8700000002 1.0
6 0.7544638321254236 376699.8700000002 1.0
7 0.7544638321254236 376699.8700000002 1.0
8 0.7544638321254236 376699.8700000002 1.0
9 0.7544638321254236 376699.8700000002 1.0
10 0.7544638321254236 376699.8700000002 1.0
11 0.7544638321254236 376699.8700000002 1.0
12 0.7544638321254236 376699.8700000002 1.0
13 0.7544638321254236 376699.8700000002 1.0
14 0.7544638321254236 376699.8700000002 1.0
15 0.7544638321254236 376699.8700000002 1.0
16 0.7544638321254236 376699.8700000002 1.0
17 0.7544638321254236 376699.8700000002 1.0
18 0.7544638321254236 376699.8700000002 1.0
19 0.7544638321254236 376699.8700000002 1.0
20 0.7544638321254236 376699.8700000002 1.0
21 0.7544638321254236 376699.8700000002 1.0
22 0.7544638321254236 376699.8700000002 1.0
23 0.7544638321254236 376699.8700000002 1.0
24 0.7544638321254236 376699.8700000002 1.0
25 0.7544638321254236 376699.8700000002 1.0
26 0.7544638321254236 376699.8700000002 1.0
27 0.7544638321254236 376699.8700000002 1.0
28 0.7544638321254236 376699.8700000002 1.0
29 0.7544638321254236 376699.8700000002 1.0
30 0.7544638321254236 376699.8700000002 1.0
31 0.7544638321254236 376699.8700000002 1.0
32 0.7544638321254236 376699.8700000002 1.0
33 0.7544638321254236 376699.8700000002 1.0
34 0.7544638321254236 376699.8700000002 1.0
35 0.7544638321254236 376699.8700000002 1.0
36 0.7544638321254236 376699.8700000002 1.0
37 0.7544638321254236 376699.8700000002 1.0
38 0.7544638321254236 376699.8700000002 1.0
39 0.7544638321254236 376699.8700000002 1.0
40 0.7544638321254236 376699.8700000002 1.0
41 0.7544638321254236 376699.8700000002 1.0
42 0.7544638321254236 376699.8700000002 1.0
43 0.7544638321254236 376699.8700000002 1.0
44 0.7544638321254236 376699.8700000002 1.0
45 0.7544638321254236 376699.8700000002 1.0
46 0.7544638321254236 376699.8700000002 1.0
47 0.7544638321254236 376699.8700000002 1.0
