Iteration FitnessValue ScCosts FR
0 0.6829226900865782 280855.92 1.0
1 0.691770908033374 273018.48 1.0
2 0.691770908033374 273018.48 1.0
3 0.691770908033374 273018.48 1.0
4 0.691770908033374 273018.48 1.0
5 0.691770908033374 273018.48 1.0
6 0.691770908033374 273018.48 1.0
7 0.691770908033374 273018.48 1.0
8 0.691770908033374 273018.48 1.0
9 0.7060398877896252 260379.52000000008 1.0
10 0.7247566396858398 243800.87999999998 1.0
11 0.7265171070243479 242241.5199999999 1.0
12 0.7284415908150785 240536.88 1.0
13 0.734998003984805 234729.43999999994 1.0
14 0.7399060337462045 230382.07999999993 1.0
15 0.7427052418429813 227902.64 1.0
16 0.7582539292597763 214130.16000000003 1.0
17 0.7709539146283528 202880.95999999996 1.0
18 0.7709539146283528 202880.95999999996 1.0
19 0.7709539146283528 202880.95999999996 1.0
20 0.7709539146283528 202880.95999999996 1.0
21 0.7709539146283528 202880.95999999996 1.0
22 0.7709539146283528 202880.95999999996 1.0
23 0.7712789670576207 202593.03999999998 1.0
24 0.7801841689921301 193192.96000000002 0.9978165938864629
25 0.7801841689921301 193192.96000000002 0.9978165938864629
26 0.792202535029615 184059.68 1.0
27 0.8001351657522429 175482.4 0.9978165938864629
28 0.8001351657522429 175482.4 0.9978165938864629
29 0.8011847059509413 174550.71999999997 0.9978165938864629
30 0.8102147206572219 168105.1199999999 1.0
31 0.8128332035772927 165785.75999999995 1.0
32 0.8128332035772927 165785.75999999995 1.0
33 0.8159588188647822 163017.2 1.0
34 0.8174066975793121 161734.72000000012 1.0
35 0.8174066975793121 161734.72000000012 1.0
36 0.8189327911879091 160382.9599999999 1.0
37 0.8195116355944603 159870.24000000002 1.0
38 0.8195116355944603 159870.24000000002 1.0
39 0.8214346743063168 158166.88000000012 1.0
40 0.8216336436038099 157990.64000000007 1.0
41 0.8222685751341665 157428.23999999996 1.0
42 0.8222685751341665 157428.23999999996 1.0
43 0.8228555481093852 156908.32 1.0
44 0.8239471245639924 155941.44000000006 1.0
45 0.8251208898795707 154901.76 1.0
46 0.8251208898795707 154901.76 1.0
47 0.8251446433635655 154880.72000000003 1.0
48 0.8255555876684195 154516.7199999999 1.0
49 0.8255555876684195 154516.7199999999 1.0
50 0.8268902986436126 153334.4800000001 1.0
51 0.8286735259743895 151754.96000000008 1.0
52 0.8286735259743895 151754.96000000008 1.0
53 0.8288855009817504 151567.2 1.0
54 0.8288855009817504 151567.2 1.0
55 0.8288855009817504 151567.2 1.0
56 0.8288855009817504 151567.2 1.0
57 0.8288855009817504 151567.2 1.0
58 0.8288855009817504 151567.2 1.0
59 0.8288855009817504 151567.2 1.0
60 0.8288855009817504 151567.2 1.0
61 0.8288855009817504 151567.2 1.0
62 0.8293748408155303 151133.76 1.0
63 0.8293748408155303 151133.76 1.0
64 0.8293748408155303 151133.76 1.0
65 0.8293748408155303 151133.76 1.0
66 0.8293748408155303 151133.76 1.0
67 0.8293748408155303 151133.76 1.0
68 0.8293748408155303 151133.76 1.0
69 0.8293748408155303 151133.76 1.0
70 0.8293748408155303 151133.76 1.0
71 0.8293748408155303 151133.76 1.0
72 0.8293748408155303 151133.76 1.0
73 0.8293748408155303 151133.76 1.0
74 0.8293748408155303 151133.76 1.0
75 0.8293748408155303 151133.76 1.0
76 0.8295942218521215 150939.43999999997 1.0
77 0.8295942218521215 150939.43999999997 1.0
78 0.8295942218521215 150939.43999999997 1.0
79 0.8301861622859703 150415.12 1.0
80 0.8301861622859703 150415.12 1.0
81 0.8301861622859703 150415.12 1.0
82 0.8301861622859703 150415.12 1.0
83 0.831077956586218 149625.19999999995 1.0
84 0.831077956586218 149625.19999999995 1.0
85 0.831077956586218 149625.19999999995 1.0
86 0.831077956586218 149625.19999999995 1.0
87 0.831077956586218 149625.19999999995 1.0
88 0.831077956586218 149625.19999999995 1.0
89 0.831077956586218 149625.19999999995 1.0
90 0.8318371648997567 148952.72000000003 1.0
91 0.8318371648997567 148952.72000000003 1.0
92 0.8318371648997567 148952.72000000003 1.0
93 0.8318371648997567 148952.72000000003 1.0
94 0.8318371648997567 148952.72000000003 1.0
95 0.8318371648997567 148952.72000000003 1.0
96 0.8318371648997567 148952.72000000003 1.0
97 0.832458187545949 148402.63999999996 1.0
98 0.832458187545949 148402.63999999996 1.0
99 0.832458187545949 148402.63999999996 1.0
100 0.832458187545949 148402.63999999996 1.0
101 0.832458187545949 148402.63999999996 1.0
