Iteration FitnessValue ScCosts FR
0 0.6014296046391776 294499.5199999999 1.0
1 0.6014296046391776 294499.5199999999 1.0
2 0.6014296046391776 294499.5199999999 1.0
3 0.6014296046391776 294499.5199999999 1.0
4 0.6014296046391776 294499.5199999999 1.0
5 0.6014296046391776 294499.5199999999 1.0
6 0.6014296046391776 294499.5199999999 1.0
7 0.6014296046391776 294499.5199999999 1.0
8 0.6141320164744505 285113.8399999999 1.0
9 0.6141320164744505 285113.8399999999 1.0
10 0.6141320164744505 285113.8399999999 1.0
11 0.6292233102211753 273963.0399999999 1.0
12 0.6292233102211753 273963.0399999999 1.0
13 0.6430291074607087 263762.07999999996 1.0
14 0.6430291074607087 263762.07999999996 1.0
15 0.6430291074607087 263762.07999999996 1.0
16 0.6688975457226629 244648.15999999997 1.0
17 0.669867108699324 243931.76000000004 1.0
18 0.6829664404533504 234252.80000000008 1.0
19 0.7164334157633292 209524.40000000005 1.0
20 0.719764468196602 207063.12000000005 1.0
21 0.7243760366907315 203655.68000000008 1.0
22 0.7250827187173836 203133.51999999996 1.0
23 0.7250827187173836 203133.51999999996 1.0
24 0.7562655097595095 180092.87999999998 1.0
25 0.7562655097595095 180092.87999999998 1.0
26 0.7680309480604411 171399.5199999999 1.0
27 0.7680309480604411 171399.5199999999 1.0
28 0.7680309480604411 171399.5199999999 1.0
29 0.7680309480604411 171399.5199999999 1.0
30 0.7680309480604411 171399.5199999999 1.0
31 0.7722795935955792 168260.23999999993 1.0
32 0.7722795935955792 168260.23999999993 1.0
33 0.7739351589195465 167036.95999999996 1.0
34 0.7739351589195465 167036.95999999996 1.0
35 0.7756895752761983 165740.63999999993 1.0
36 0.7756895752761983 165740.63999999993 1.0
37 0.7775075464589027 164397.35999999993 1.0
38 0.7775075464589027 164397.35999999993 1.0
39 0.7783937410947454 163742.56000000008 1.0
40 0.7783937410947454 163742.56000000008 1.0
41 0.7784509079570209 163700.32000000004 1.0
42 0.7789983239715378 163295.84000000005 1.0
43 0.7808704304404881 161912.56 1.0
44 0.7808704304404881 161912.56 1.0
45 0.7808704304404881 161912.56 1.0
46 0.7810039280563701 161813.91999999995 1.0
47 0.7810039280563701 161813.91999999995 1.0
48 0.7810039280563701 161813.91999999995 1.0
49 0.7810039280563701 161813.91999999995 1.0
50 0.7810039280563701 161813.91999999995 1.0
51 0.7810039280563701 161813.91999999995 1.0
52 0.7814181712667224 161507.84000000003 1.0
53 0.78154279069566 161415.76000000007 1.0
54 0.78154279069566 161415.76000000007 1.0
55 0.78154279069566 161415.76000000007 1.0
56 0.78154279069566 161415.76000000007 1.0
57 0.78154279069566 161415.76000000007 1.0
58 0.78154279069566 161415.76000000007 1.0
59 0.78154279069566 161415.76000000007 1.0
60 0.78154279069566 161415.76000000007 1.0
61 0.7841541686335822 159486.23999999993 1.0
62 0.7841541686335822 159486.23999999993 1.0
63 0.7841541686335822 159486.23999999993 1.0
64 0.7841541686335822 159486.23999999993 1.0
65 0.7841541686335822 159486.23999999993 1.0
66 0.7841541686335822 159486.23999999993 1.0
67 0.7841541686335822 159486.23999999993 1.0
68 0.7854305704126842 158543.12 1.0
69 0.7854305704126842 158543.12 1.0
70 0.7854305704126842 158543.12 1.0
71 0.7854305704126842 158543.12 1.0
72 0.7854305704126842 158543.12 1.0
73 0.7854305704126842 158543.12 1.0
74 0.7854305704126842 158543.12 1.0
75 0.786702966180604 157602.96000000005 1.0
76 0.786702966180604 157602.96000000005 1.0
77 0.786702966180604 157602.96000000005 1.0
78 0.786702966180604 157602.96000000005 1.0
79 0.786702966180604 157602.96000000005 1.0
80 0.786702966180604 157602.96000000005 1.0
81 0.786702966180604 157602.96000000005 1.0
82 0.786702966180604 157602.96000000005 1.0
83 0.786702966180604 157602.96000000005 1.0
84 0.786702966180604 157602.96000000005 1.0
85 0.786702966180604 157602.96000000005 1.0
86 0.786702966180604 157602.96000000005 1.0
87 0.786702966180604 157602.96000000005 1.0
88 0.786702966180604 157602.96000000005 1.0
89 0.786702966180604 157602.96000000005 1.0
90 0.786702966180604 157602.96000000005 1.0
91 0.786702966180604 157602.96000000005 1.0
92 0.786702966180604 157602.96000000005 1.0
93 0.786702966180604 157602.96000000005 1.0
94 0.786702966180604 157602.96000000005 1.0
95 0.7877150794922542 156855.1200000001 1.0
96 0.7877150794922542 156855.1200000001 1.0
97 0.7877150794922542 156855.1200000001 1.0
98 0.7877150794922542 156855.1200000001 1.0
99 0.7883185796633218 156409.20000000007 1.0
100 0.7886416590516364 156170.47999999998 1.0
101 0.7886416590516364 156170.47999999998 1.0
