Iteration FitnessValue ScCosts FR
0 0.6557916643983036 532552.8037089262 1.0
1 0.6557916643983036 532552.8037089262 1.0
2 0.6557916643983036 532552.8037089262 1.0
3 0.6557916643983036 532552.8037089262 1.0
4 0.6557916643983036 532552.8037089262 1.0
5 0.6557916643983036 532552.8037089262 1.0
6 0.6557916643983036 532552.8037089262 1.0
7 0.6557916643983036 532552.8037089262 1.0
8 0.6557916643983036 532552.8037089262 1.0
9 0.6557916643983036 532552.8037089262 1.0
10 0.6557916643983036 532552.8037089262 1.0
11 0.6557916643983036 532552.8037089262 1.0
12 0.6557916643983036 532552.8037089262 1.0
13 0.6557916643983036 532552.8037089262 1.0
14 0.6557916643983036 532552.8037089262 1.0
15 0.6557916643983036 532552.8037089262 1.0
16 0.6557916643983036 532552.8037089262 1.0
17 0.6557916643983036 532552.8037089262 1.0
18 0.6557916643983036 532552.8037089262 1.0
19 0.6557916643983036 532552.8037089262 1.0
20 0.6557916643983036 532552.8037089262 1.0
21 0.6557916643983036 532552.8037089262 1.0
22 0.6557916643983036 532552.8037089262 1.0
23 0.6557916643983036 532552.8037089262 1.0
24 0.6557916643983036 532552.8037089262 1.0
25 0.6557916643983036 532552.8037089262 1.0
26 0.6557916643983036 532552.8037089262 1.0
27 0.6557916643983036 532552.8037089262 1.0
28 0.6557916643983036 532552.8037089262 1.0
29 0.6596372056756716 526603.0529991975 1.0
30 0.6596372056756716 526603.0529991975 1.0
31 0.6596372056756716 526603.0529991975 1.0
32 0.6596372056756716 526603.0529991975 1.0
33 0.6596372056756716 526603.0529991975 1.0
34 0.6596372056756716 526603.0529991975 1.0
35 0.6596997879698505 526506.2268251037 1.0
36 0.6596997879698505 526506.2268251037 1.0
37 0.6601530044016306 525805.0187006416 1.0
38 0.660495864568896 525274.5517581776 1.0
39 0.660495864568896 525274.5517581776 1.0
40 0.660495864568896 525274.5517581776 1.0
41 0.6618422194907769 523191.496194803 1.0
42 0.6818911286279478 492172.192860264 1.0
43 0.6844182817747237 488262.2280089922 1.0
44 0.6844182817747237 488262.2280089922 1.0
45 0.6844182817747237 488262.2280089922 1.0
46 0.688457016574799 482013.5718355236 1.0
47 0.6900580646572203 479536.4597002937 1.0
48 0.6945519322907667 472583.6303809267 1.0
49 0.7189309519739228 434864.8596799076 1.0
50 0.7189309519739228 434864.8596799076 1.0
51 0.7189309519739228 434864.8596799076 1.0
52 0.7189309519739228 434864.8596799076 1.0
53 0.7204428669462579 432525.65265263134 1.0
54 0.742034020548543 399120.2170576243 1.0
55 0.742034020548543 399120.2170576243 1.0
56 0.742034020548543 399120.2170576243 1.0
57 0.7448114239501904 394823.0696164026 1.0
58 0.7513985445098857 384631.59788373136 1.0
59 0.7560406810903129 377449.36957777035 1.0
60 0.7565067974885841 376728.2028625016 1.0
61 0.7667059398453376 360948.2774634817 1.0
62 0.7667059398453376 360948.2774634817 1.0
63 0.7667059398453376 360948.2774634817 1.0
64 0.7667059398453376 360948.2774634817 1.0
65 0.7667059398453376 360948.2774634817 1.0
66 0.7667059398453376 360948.2774634817 1.0
67 0.7669403965540815 360585.53035751265 1.0
68 0.7676809033762009 359439.8318270112 1.0
69 0.7690164486707582 357373.5007201437 1.0
70 0.7716116925210929 353358.18718513584 1.0
71 0.7716116925210929 353358.18718513584 1.0
72 0.7720283857998438 352713.4870110464 1.0
73 0.7749613439665026 348175.66809947125 1.0
74 0.7749613439665026 348175.66809947125 1.0
75 0.7749613439665026 348175.66809947125 1.0
76 0.7783016757146602 343007.56827792095 1.0
77 0.7783016757146602 343007.56827792095 1.0
78 0.7791452667565546 341702.3797392436 1.0
79 0.7791452667565546 341702.3797392436 1.0
80 0.7792273226419677 341575.4243830892 1.0
81 0.7792273226419677 341575.4243830892 1.0
82 0.7792510871276032 341538.65640815994 1.0
83 0.7807005755082544 339296.03465494193 1.0
84 0.7807005755082544 339296.03465494193 1.0
85 0.7811102064316248 338662.26122715604 1.0
86 0.7816918758321634 337762.31303285377 1.0
87 0.7816918758321634 337762.31303285377 1.0
88 0.7816918758321634 337762.31303285377 1.0
89 0.7816918758321634 337762.31303285377 1.0
90 0.7829131225428851 335872.8225919025 1.0
91 0.7829131225428851 335872.8225919025 1.0
92 0.7834921348642887 334976.98538155 1.0
93 0.7834921348642887 334976.98538155 1.0
94 0.7834921348642887 334976.98538155 1.0
95 0.7834921348642887 334976.98538155 1.0
96 0.7845175342059941 333390.5063865195 1.0
97 0.7854026953903793 332021.00128823466 1.0
98 0.7854026953903793 332021.00128823466 1.0
99 0.7856636666802859 331617.23131013615 1.0
100 0.7856636666802859 331617.23131013615 1.0
101 0.7856636666802859 331617.23131013615 1.0
