Iteration FitnessValue ScCosts FR
0 0.7704271016250877 321488.9848442662 1.0
1 0.7704271016250877 321488.9848442662 1.0
2 0.7704271016250877 321488.9848442662 1.0
3 0.7704271016250877 321488.9848442662 1.0
4 0.7704271016250877 321488.9848442662 1.0
5 0.7704271016250877 321488.9848442662 1.0
6 0.7704271016250877 321488.9848442662 1.0
7 0.7704271016250877 321488.9848442662 1.0
8 0.7704271016250877 321488.9848442662 1.0
9 0.7704271016250877 321488.9848442662 1.0
10 0.7704271016250877 321488.9848442662 1.0
11 0.7704271016250877 321488.9848442662 1.0
12 0.7704271016250877 321488.9848442662 1.0
13 0.7704271016250877 321488.9848442662 1.0
14 0.7704271016250877 321488.9848442662 1.0
15 0.7704271016250877 321488.9848442662 1.0
16 0.7704271016250877 321488.9848442662 1.0
17 0.7704271016250877 321488.9848442662 1.0
18 0.7704271016250877 321488.9848442662 1.0
19 0.7704271016250877 321488.9848442662 1.0
20 0.7704271016250877 321488.9848442662 1.0
21 0.7704271016250877 321488.9848442662 1.0
22 0.7704271016250877 321488.9848442662 1.0
23 0.7704271016250877 321488.9848442662 1.0
24 0.7704271016250877 321488.9848442662 1.0
25 0.7704271016250877 321488.9848442662 1.0
26 0.7704271016250877 321488.9848442662 1.0
27 0.7704271016250877 321488.9848442662 1.0
28 0.7704271016250877 321488.9848442662 1.0
29 0.7704271016250877 321488.9848442662 1.0
30 0.7704271016250877 321488.9848442662 1.0
31 0.7704271016250877 321488.9848442662 1.0
32 0.7704271016250877 321488.9848442662 1.0
33 0.7704271016250877 321488.9848442662 1.0
34 0.7704271016250877 321488.9848442662 1.0
35 0.7704271016250877 321488.9848442662 1.0
36 0.7704271016250877 321488.9848442662 1.0
37 0.7704271016250877 321488.9848442662 1.0
38 0.7704271016250877 321488.9848442662 1.0
39 0.7704271016250877 321488.9848442662 1.0
40 0.7704271016250877 321488.9848442662 1.0
41 0.7704271016250877 321488.9848442662 1.0
42 0.7704271016250877 321488.9848442662 1.0
43 0.7704271016250877 321488.9848442662 1.0
44 0.7704271016250877 321488.9848442662 1.0
45 0.7704271016250877 321488.9848442662 1.0
46 0.7739741498877744 311019.96265911765 0.9949494949494949
47 0.7739741498877744 311019.96265911765 0.9949494949494949
48 0.7832152248094506 303580.77019999985 1.0
49 0.7832152248094506 303580.77019999985 1.0
50 0.7832152248094506 303580.77019999985 1.0
51 0.7832152248094506 303580.77019999985 1.0
52 0.7832152248094506 303580.77019999985 1.0
53 0.7832152248094506 303580.77019999985 1.0
54 0.7832152248094506 303580.77019999985 1.0
55 0.7835821077260777 297496.8852892651 0.9949494949494949
56 0.7836097564357972 297457.9700851181 0.9949494949494949
57 0.7876051083600535 297433.2710123429 1.0
58 0.7899591476060871 288521.2834871625 0.9949494949494949
59 0.7899591476060871 288521.2834871625 0.9949494949494949
60 0.7899591476060871 288521.2834871625 0.9949494949494949
61 0.7899591476060871 288521.2834871625 0.9949494949494949
62 0.7899591476060871 288521.2834871625 0.9949494949494949
63 0.7899591476060871 288521.2834871625 0.9949494949494949
64 0.7961348834499266 279829.01453287253 0.9949494949494949
65 0.7967728899734813 278931.02853775216 0.9949494949494949
66 0.7967728899734813 278931.02853775216 0.9949494949494949
67 0.7967728899734813 278931.02853775216 0.9949494949494949
68 0.7967728899734813 278931.02853775216 0.9949494949494949
69 0.7967728899734813 278931.02853775216 0.9949494949494949
70 0.7967728899734813 278931.02853775216 0.9949494949494949
71 0.7967728899734813 278931.02853775216 0.9949494949494949
72 0.7969640217735621 272938.9689299235 0.98989898989899
73 0.7984568868801838 282236.6720893545 1.0
74 0.7984568868801838 282236.6720893545 1.0
75 0.7984568868801838 282236.6720893545 1.0
76 0.7984568868801838 282236.6720893545 1.0
77 0.8029215096003877 264511.1001995165 0.98989898989899
78 0.8029215096003877 264511.1001995165 0.98989898989899
79 0.8029215096003877 264511.1001995165 0.98989898989899
80 0.8029768920331712 270198.9752473597 0.9949494949494949
81 0.8029768920331712 270198.9752473597 0.9949494949494949
82 0.8029768920331712 270198.9752473597 0.9949494949494949
83 0.8029768920331712 270198.9752473597 0.9949494949494949
84 0.8037021212768778 263406.79366459453 0.98989898989899
85 0.8037021212768778 263406.79366459453 0.98989898989899
86 0.8041296637138586 274292.63654153526 1.0
87 0.8060990983502541 271534.6823298064 1.0
88 0.8060990983502541 271534.6823298064 1.0
89 0.8060990983502541 271534.6823298064 1.0
90 0.8060990983502541 271534.6823298064 1.0
91 0.8060990983502541 271534.6823298064 1.0
92 0.8060990983502541 271534.6823298064 1.0
93 0.8060990983502541 271534.6823298064 1.0
94 0.8060990983502541 271534.6823298064 1.0
95 0.8060990983502541 271534.6823298064 1.0
96 0.8060990983502541 271534.6823298064 1.0
97 0.8060990983502541 271534.6823298064 1.0
98 0.8060990983502541 271534.6823298064 1.0
99 0.8060990983502541 271534.6823298064 1.0
100 0.8060990983502541 271534.6823298064 1.0
101 0.8060990983502541 271534.6823298064 1.0
