Iteration FitnessValue ScCosts FR
0 0.6859180749606051 387518.1119913987 1.0
1 0.6859180749606051 387518.1119913987 1.0
2 0.6859180749606051 387518.1119913987 1.0
3 0.6859180749606051 387518.1119913987 1.0
4 0.6859180749606051 387518.1119913987 1.0
5 0.6859180749606051 387518.1119913987 1.0
6 0.6859180749606051 387518.1119913987 1.0
7 0.6859180749606051 387518.1119913987 1.0
8 0.6859180749606051 387518.1119913987 1.0
9 0.6859180749606051 387518.1119913987 1.0
10 0.6859180749606051 387518.1119913987 1.0
11 0.6859180749606051 387518.1119913987 1.0
12 0.6859180749606051 387518.1119913987 1.0
13 0.6859180749606051 387518.1119913987 1.0
14 0.6859180749606051 387518.1119913987 1.0
15 0.6859180749606051 387518.1119913987 1.0
16 0.6859180749606051 387518.1119913987 1.0
17 0.6859180749606051 387518.1119913987 1.0
18 0.6859180749606051 387518.1119913987 1.0
19 0.6859180749606051 387518.1119913987 1.0
20 0.6859180749606051 387518.1119913987 1.0
21 0.6859180749606051 387518.1119913987 1.0
22 0.6859180749606051 387518.1119913987 1.0
23 0.6859180749606051 387518.1119913987 1.0
24 0.6859180749606051 387518.1119913987 1.0
25 0.6859180749606051 387518.1119913987 1.0
26 0.6859180749606051 387518.1119913987 1.0
27 0.6859180749606051 387518.1119913987 1.0
28 0.6859180749606051 387518.1119913987 1.0
29 0.6859180749606051 387518.1119913987 1.0
30 0.6859180749606051 387518.1119913987 1.0
31 0.6859180749606051 387518.1119913987 1.0
32 0.6859180749606051 387518.1119913987 1.0
33 0.6859180749606051 387518.1119913987 1.0
34 0.6859180749606051 387518.1119913987 1.0
35 0.6859180749606051 387518.1119913987 1.0
36 0.6859180749606051 387518.1119913987 1.0
37 0.6866849266615915 386571.96100449807 1.0
38 0.686869329615682 386344.4423893922 1.0
39 0.686869329615682 386344.4423893922 1.0
40 0.6873515465001437 385749.4773126417 1.0
41 0.6874565893110196 385619.87421070004 1.0
42 0.6874565893110196 385619.87421070004 1.0
43 0.6874565893110196 385619.87421070004 1.0
44 0.6874565893110196 385619.87421070004 1.0
45 0.6874565893110196 385619.87421070004 1.0
46 0.6874565893110196 385619.87421070004 1.0
47 0.6874636848744811 385611.1196179111 1.0
48 0.6874636848744811 385611.1196179111 1.0
49 0.6876702905655501 385356.2069949715 1.0
50 0.6883790448321405 384481.73733161687 1.0
51 0.6899425831900976 382552.6246250335 1.0
52 0.6899425831900976 382552.6246250335 1.0
53 0.6911376912928381 381078.08566345036 1.0
54 0.6911376912928381 381078.08566345036 1.0
55 0.6911376912928381 381078.08566345036 1.0
56 0.6916483166794399 380448.06983007817 1.0
57 0.6916483166794399 380448.06983007817 1.0
58 0.6920745748135864 379922.1473423557 1.0
59 0.6920745748135864 379922.1473423557 1.0
60 0.6920745748135864 379922.1473423557 1.0
61 0.6921160248407998 379871.005792947 1.0
62 0.6924532343470029 379454.95258907997 1.0
63 0.6992609958442991 371055.4533756532 1.0
64 0.7022765347326299 367334.8446953034 1.0
65 0.7043016818482939 364836.19347024953 1.0
66 0.7043016818482939 364836.19347024953 1.0
67 0.7043016818482939 364836.19347024953 1.0
68 0.7043016818482939 364836.19347024953 1.0
69 0.7072740956133923 361168.79309321835 1.0
70 0.7072740956133923 361168.79309321835 1.0
71 0.7072740956133923 361168.79309321835 1.0
72 0.7134838016267535 353507.1820342005 1.0
73 0.7164315073506669 349870.26673990634 1.0
74 0.7228473670498269 341954.3007475675 1.0
75 0.7228473670498269 341954.3007475675 1.0
76 0.7262064407125017 337809.8346703282 1.0
77 0.7262064407125017 337809.8346703282 1.0
78 0.7320130268554101 326866.65805451036 0.9958333333333333
79 0.7380882115231754 319339.658575482 0.9958333333333333
80 0.7380882115231754 319339.658575482 0.9958333333333333
81 0.7380882115231754 319339.658575482 0.9958333333333333
82 0.7477936836087908 303421.979076773 0.9916666666666667
83 0.7523324699725469 297774.9101647948 0.9916666666666667
84 0.7523324699725469 297774.9101647948 0.9916666666666667
85 0.7555778722290662 297670.4132404182 0.9958333333333333
86 0.7613917194730417 282506.48689768073 0.9875
87 0.7613917194730417 282506.48689768073 0.9875
88 0.7649879649464728 278013.2296301762 0.9875
89 0.7649879649464728 278013.2296301762 0.9875
90 0.7649879649464728 278013.2296301762 0.9875
91 0.7649879649464728 278013.2296301762 0.9875
92 0.7649879649464728 278013.2296301762 0.9875
93 0.7649879649464728 278013.2296301762 0.9875
94 0.7649879649464728 278013.2296301762 0.9875
95 0.7649879649464728 278013.2296301762 0.9875
96 0.7649879649464728 278013.2296301762 0.9875
97 0.7649879649464728 278013.2296301762 0.9875
98 0.7649879649464728 278013.2296301762 0.9875
99 0.7649879649464728 278013.2296301762 0.9875
100 0.7649879649464728 278013.2296301762 0.9875
101 0.7649879649464728 278013.2296301762 0.9875
