date demand demandChange inventoryPosition leadTime orderQuantity
2019-07-02 0 0 9000 24 0 
2019-07-03 0 0 9000 24 0 
2019-07-04 0 0 9000 24 0 
2019-07-05 0 0 9000 24 0 
2019-07-08 0 0 9000 24 0 
2019-07-09 0 0 9000 24 0 
2019-07-10 0 0 9000 24 0 
2019-07-11 0 0 9000 72 0 
2019-07-12 0 0 9000 24 0 
2019-07-15 0 0 9000 0 0 
2019-07-16 0 0 9000 24 0 
2019-07-17 14922 14922 774 24 39612 
2019-07-18 0 -14922 774 24 38829 
2019-07-19 0 0 774 24 38141 
2019-07-22 0 0 774 0 38027 
2019-07-23 3905 3905 774 24 24646 
2019-07-24 3905 0 21515 24 0 
2019-07-25 3678 -227 17837 0 0 
2019-07-26 3264 -414 14573 24 0 
2019-07-29 3433 169 11140 72 6303 
2019-07-30 0 -3433 17443 24 0 
2019-07-31 0 0 17443 0 0 
2019-08-01 7591 7591 9852 24 7910 
2019-08-02 0 -7591 17762 24 0 
2019-08-05 0 0 17762 24 0 
2019-08-06 0 0 17762 24 0 
2019-08-07 5462 5462 12300 24 0 
2019-08-08 0 -5462 12300 24 0 
2019-08-09 0 0 12300 24 0 
2019-08-12 0 0 12300 0 0 
2019-08-13 0 0 12300 24 0 
2019-08-14 4191 4191 8109 0 8087 
2019-08-15 0 -4191 16196 24 0 
2019-08-16 3364 3364 12832 24 0 
2019-08-19 0 -3364 12832 24 0 
2019-08-20 4448 4448 8384 24 6751 
2019-08-21 0 -4448 15135 24 0 
2019-08-22 0 0 15135 0 0 
2019-08-23 5250 5250 9885 0 5086 
2019-08-26 4419 -831 10552 24 0 
2019-08-27 0 -4419 10552 24 0 
2019-08-28 0 0 10552 24 0 
2019-08-29 0 0 10552 24 0 
2019-08-30 0 0 10552 24 0 
2019-09-02 0 0 10552 24 0 
2019-09-03 4473 4473 6079 24 8256 
2019-09-04 3595 -878 10740 24 0 
2019-09-05 0 -3595 10740 24 0 
2019-09-06 0 0 10740 0 0 
2019-09-09 0 0 10740 24 0 
2019-09-10 0 0 10740 24 0 
2019-09-11 6282 6282 4458 24 9591 
2019-09-12 0 -6282 14049 24 0 
2019-09-13 0 0 14049 24 0 
2019-09-16 0 0 14049 24 0 
2019-09-17 0 0 14049 24 0 
2019-09-18 0 0 14049 24 0 
2019-09-19 0 0 14049 24 0 
2019-09-20 3550 3550 10499 24 0 
2019-09-23 5487 1937 5012 0 8643 
2019-09-24 0 -5487 13655 24 0 
2019-09-25 0 0 13655 24 0 
2019-09-26 0 0 13655 24 0 
2019-09-27 0 0 13655 24 0 
2019-09-30 0 0 13655 24 0 
2019-10-01 11640 11640 2015 24 12241 
2019-10-02 0 -11640 14256 0 0 
2019-10-03 0 0 14256 24 0 
2019-10-04 0 0 14256 24 0 
2019-10-07 0 0 14256 0 0 
2019-10-08 0 0 14256 24 0 
2019-10-09 0 0 14256 24 0 
2019-10-10 5874 5874 8382 24 5799 
2019-10-11 0 -5874 14181 0 0 
2019-10-14 0 0 14181 24 0 
2019-10-15 5964 5964 8217 0 5985 
2019-10-16 6488 524 7714 24 6570 
2019-10-17 0 -6488 14284 24 0 
2019-10-18 0 0 14284 24 0 
2019-10-21 0 0 14284 24 0 
2019-10-22 0 0 14284 24 0 
2019-10-23 0 0 14284 0 0 
2019-10-24 0 0 14284 24 0 
2019-10-25 0 0 14284 24 0 
2019-10-28 0 0 14284 24 0 
2019-10-29 0 0 14284 24 0 
2019-10-30 10815 10815 3469 0 11151 
2019-10-31 0 -10815 14620 0 0 
2019-11-01 0 0 14620 24 0 
2019-11-04 0 0 14620 24 0 
2019-11-05 0 0 14620 24 0 
2019-11-06 6412 6412 8208 0 6413 
2019-11-07 0 -6412 14621 0 0 
2019-11-08 10441 10441 4180 24 10811 
2019-11-11 0 -10441 14991 24 0 
2019-11-12 0 0 14991 24 0 
2019-11-13 0 0 14991 24 0 
2019-11-14 0 0 14991 24 0 
2019-11-15 0 0 14991 24 0 
2019-11-18 0 0 14991 24 0 
2019-11-19 0 0 14991 72 0 
2019-11-20 0 0 14991 24 0 
2019-11-21 11158 11158 3833 0 12015 
2019-11-22 0 -11158 15848 24 0 
