date demand demandChange inventoryPosition orderQuantity
2019-07-02 0 0 3000 0 
2019-07-03 0 0 3000 0 
2019-07-04 0 0 3000 0 
2019-07-05 0 0 3000 0 
2019-07-08 0 0 3000 0 
2019-07-09 0 0 3000 0 
2019-07-10 0 0 3000 0 
2019-07-11 0 0 3000 0 
2019-07-12 0 0 3000 0 
2019-07-15 0 0 3000 0 
2019-07-16 0 0 3000 0 
2019-07-17 0 0 3000 0 
2019-07-18 0 0 3000 0 
2019-07-19 0 0 3000 0 
2019-07-22 0 0 3000 0 
2019-07-23 0 0 3000 0 
2019-07-24 0 0 3000 0 
2019-07-25 0 0 3000 0 
2019-07-26 0 0 3000 0 
2019-07-29 0 0 3000 0 
2019-07-30 0 0 3000 0 
2019-07-31 0 0 3000 0 
2019-08-01 0 0 3000 0 
2019-08-02 0 0 3000 0 
2019-08-05 0 0 3000 0 
2019-08-06 2444 2444 556 5322 
2019-08-07 3012 568 2866 0 
2019-08-08 3004 -8 2866 0 
2019-08-09 0 -3004 2866 0 
2019-08-12 0 0 2866 0 
2019-08-13 0 0 2866 0 
2019-08-14 3122 3122 2866 3768 
2019-08-15 0 -3122 6634 0 
2019-08-16 0 0 6634 0 
2019-08-19 0 0 6634 0 
2019-08-20 0 0 6634 0 
2019-08-21 0 0 6634 0 
2019-08-22 0 0 6634 0 
2019-08-23 3123 3123 3511 0 
2019-08-26 0 -3123 3511 0 
2019-08-27 0 0 3511 0 
2019-08-28 0 0 3511 0 
2019-08-29 3105 3105 406 6347 
2019-08-30 0 -3105 6753 0 
2019-09-02 2439 2439 4314 0 
2019-09-03 0 -2439 4314 0 
2019-09-04 0 0 4314 0 
2019-09-05 0 0 4314 0 
2019-09-06 0 0 4314 0 
2019-09-09 0 0 4314 0 
2019-09-10 0 0 4314 0 
2019-09-11 5250 5250 4314 0 
2019-09-12 0 -5250 4314 0 
2019-09-13 0 0 4314 0 
2019-09-16 0 0 4314 0 
2019-09-17 0 0 4314 0 
2019-09-18 0 0 4314 0 
2019-09-19 0 0 4314 0 
2019-09-20 0 0 4314 0 
2019-09-23 0 0 4314 0 
2019-09-24 0 0 4314 0 
2019-09-25 0 0 4314 0 
2019-09-26 0 0 4314 0 
2019-09-27 0 0 4314 0 
2019-09-30 0 0 4314 0 
2019-10-01 0 0 4314 0 
2019-10-02 2737 2737 1577 5452 
2019-10-03 5628 2891 1401 6028 
2019-10-04 0 -5628 7429 0 
2019-10-07 0 0 7429 0 
2019-10-08 0 0 7429 0 
2019-10-09 2385 2385 5044 0 
2019-10-10 0 -2385 5044 0 
2019-10-11 0 0 5044 0 
2019-10-14 0 0 5044 0 
2019-10-15 0 0 5044 0 
2019-10-16 0 0 5044 0 
2019-10-17 0 0 5044 0 
2019-10-18 0 0 5044 0 
2019-10-21 0 0 5044 0 
2019-10-22 0 0 5044 0 
2019-10-23 4084 4084 960 6429 
