date demand demandChange inventoryPosition leadTime marketPrice orderQuantity
2019-07-02 0 0 5000 24 0.92 0 
2019-07-03 0 0 5000 24 0.92 0 
2019-07-04 0 0 5000 48 0.92 0 
2019-07-05 0 0 5000 24 0.92 0 
2019-07-08 0 0 5000 96 0.92 0 
2019-07-09 1781 1781 3219 48 0.92 8040 
2019-07-10 0 -1781 11259 96 0.92 0 
2019-07-11 1439 1439 9820 48 0.92 0 
2019-07-12 0 -1439 9820 72 0.92 0 
2019-07-15 0 0 9820 48 0.92 0 
2019-07-16 0 0 9820 96 0.84 0 
2019-07-17 18878 18878 8243 72 0.84 32937 
2019-07-18 17103 -1775 41180 72 0.84 11790 
2019-07-19 21683 4580 50180 72 0.84 14037 
2019-07-22 19744 -1939 64217 96 0.84 0 
2019-07-23 25515 5771 42813 72 0.84 37400 
2019-07-24 13359 -12156 66854 72 0.84 0 
2019-07-25 1616 -11743 65238 48 0.84 0 
2019-07-26 3168 1552 62070 24 0.84 0 
2019-07-29 8652 5484 53418 48 0.84 0 
2019-07-30 0 -8652 53418 72 0.75 0 
2019-07-31 0 0 53418 96 0.75 0 
2019-08-01 1582 1582 51836 72 0.75 0 
2019-08-02 7239 5657 44597 48 0.75 13106 
2019-08-05 1040 -6199 56663 24 0.75 0 
2019-08-06 6896 5856 49767 72 0.75 0 
2019-08-07 17786 10890 31981 96 0.75 24236 
2019-08-08 23385 5599 46528 96 0.75 14186 
2019-08-09 13694 -9691 47020 24 0.75 14179 
2019-08-12 4328 -9366 56871 24 0.75 0 
2019-08-13 5151 823 55130 96 0.71 0 
2019-08-14 7608 2457 47522 96 0.71 0 
2019-08-15 2892 -4716 44630 96 0.71 12569 
2019-08-16 7805 4913 49394 48 0.71 0 
2019-08-19 0 -7805 49394 24 0.71 0 
2019-08-20 4563 4563 44831 96 0.71 0 
2019-08-21 2629 -1934 42202 72 0.71 11640 
2019-08-22 0 -2629 53842 48 0.71 0 
2019-08-23 6192 6192 47650 24 0.71 0 
2019-08-26 11840 5648 35810 24 0.71 17158 
2019-08-27 0 -11840 52968 24 0.67 0 
2019-08-28 5205 5205 47763 72 0.67 0 
2019-08-29 7321 2116 40442 72 0.67 11066 
2019-08-30 8425 1104 43083 72 0.67 0 
2019-09-02 0 -8425 43083 96 0.67 0 
2019-09-03 4759 4759 38324 72 0.67 12575 
2019-09-04 3406 -1353 47493 48 0.67 0 
2019-09-05 0 -3406 47493 72 0.67 0 
2019-09-06 0 0 47493 24 0.67 0 
2019-09-09 0 0 47493 24 0.67 0 
2019-09-10 6756 6756 40737 96 0.63 0 
2019-09-11 11025 4269 29712 96 0.63 20424 
2019-09-12 11792 767 38344 72 0.63 12129 
2019-09-13 7101 -4691 43372 24 0.63 0 
2019-09-16 2829 -4272 40543 24 0.63 0 
2019-09-17 1892 -937 38651 72 0.63 0 
2019-09-18 2465 573 36186 72 0.63 11138 
2019-09-19 10365 7900 36959 96 0.63 10900 
2019-09-20 1714 -8651 46145 96 0.63 0 
2019-09-23 8836 7122 37309 72 0.63 9988 
2019-09-24 5871 -2965 41426 96 0.63 0 
2019-09-25 1189 -4682 40237 48 0.63 0 
2019-09-26 1058 -131 39179 72 0.63 0 
2019-09-27 11413 10355 27766 96 0.63 18245 
2019-09-30 0 -11413 46011 24 0.63 0 
2019-10-01 9532 9532 36479 72 0.63 0 
2019-10-02 11787 2255 24692 72 0.63 21677 
2019-10-03 2434 -9353 43935 48 0.63 0 
2019-10-04 0 -2434 43935 72 0.63 0 
2019-10-07 1722 1722 42213 48 0.63 0 
2019-10-08 0 -1722 42213 96 0.6 0 
2019-10-09 3687 3687 38526 96 0.6 0 
2019-10-10 2589 -1098 35937 72 0.6 0 
2019-10-11 2184 -405 33753 24 0.6 9862 
2019-10-14 0 -2184 43615 72 0.6 0 
2019-10-15 17223 17223 26392 48 0.6 17948 
2019-10-16 4355 -12868 39985 48 0.6 0 
2019-10-17 6209 1854 33776 48 0.6 9856 
2019-10-18 5883 -326 37749 96 0.6 0 
2019-10-21 0 -5883 37749 72 0.6 0 
2019-10-22 0 0 37749 72 0.65 0 
2019-10-23 6211 6211 31538 24 0.65 11853 
2019-10-24 0 -6211 43391 72 0.65 0 
2019-10-25 0 0 43391 24 0.65 0 
2019-10-28 4340 4340 39051 24 0.65 0 
2019-10-29 5890 1550 33161 72 0.65 9627 
2019-10-30 2231 -3659 40557 24 0.65 0 
2019-10-31 11742 9511 28815 72 0.65 13791 
2019-11-01 1107 -10635 41499 24 0.65 0 
2019-11-04 0 -1107 41499 24 0.65 0 
2019-11-05 1528 1528 39971 24 0.66 0 
2019-11-06 1283 -245 38688 72 0.66 0 
2019-11-07 11295 10012 27393 48 0.66 13783 
2019-11-08 13861 2566 27315 72 0.66 14324 
2019-11-11 1631 -12230 40008 24 0.66 0 
2019-11-12 5475 3844 34533 72 0.66 0 
2019-11-13 5680 205 28853 96 0.66 12200 
2019-11-14 899 -4781 40154 96 0.66 0 
2019-11-15 5099 4200 35055 24 0.66 0 
2019-11-18 0 -5099 35055 24 0.66 0 
2019-11-19 1742 1742 33313 48 0.72 0 
2019-11-20 2813 1071 30500 48 0.72 9171 
2019-11-21 10854 8041 28817 24 0.72 11056 
2019-11-22 4605 -6249 35268 96 0.72 0 
2019-11-25 8932 4327 26336 24 0.72 13595 
2019-11-26 9924 992 30007 72 0.72 10088 
2019-11-27 0 -9924 40095 72 0.72 0 
2019-11-28 1227 1227 38868 72 0.72 0 
2019-11-29 4284 3057 34584 48 0.72 0 
2019-12-02 7953 3669 26631 96 0.72 13006 
2019-12-03 11481 3528 28156 24 0.69 11705 
2019-12-04 2630 -8851 37231 96 0.69 0 
2019-12-05 2458 -172 34773 72 0.69 0 
2019-12-06 0 -2458 34773 96 0.69 0 
2019-12-09 0 0 34773 24 0.69 0 
2019-12-10 9380 9380 25393 72 0.69 14260 
2019-12-11 0 -9380 39653 96 0.69 0 
2019-12-12 6331 6331 33322 48 0.69 0 
2019-12-13 0 -6331 33322 72 0.69 0 
2019-12-16 4536 4536 28786 72 0.69 10703 
2019-12-17 8752 4216 30737 72 0.8 0 
2019-12-18 14650 5898 16087 96 0.8 24040 
2019-12-19 0 -14650 40127 96 0.8 0 
2019-12-20 3039 3039 37088 24 0.8 0 
2019-12-23 6627 3588 30461 72 0.8 9477 
2019-12-24 5987 -640 33951 24 0.8 0 
2019-12-25 2314 -3673 31637 24 0.8 0 
2019-12-26 3101 787 28536 48 0.8 10738 
2019-12-27 7733 4632 31541 96 0.8 0 
2019-12-30 4767 -2966 26774 24 0.8 12504 
2019-12-31 5290 523 33988 48 0.9 0 
