date demand demandChange inventoryPosition orderQuantity
2019-07-02 0 0 0 0 
2019-07-03 0 0 0 0 
2019-07-04 0 0 0 0 
2019-07-05 0 0 0 0 
2019-07-08 0 0 0 0 
2019-07-09 0 0 0 0 
2019-07-10 0 0 0 0 
2019-07-11 0 0 0 0 
2019-07-12 0 0 0 0 
2019-07-15 0 0 0 0 
2019-07-16 0 0 0 0 
2019-07-17 2250 2250 0 7111 
2019-07-18 0 -2250 0 7111 
2019-07-19 0 0 0 7111 
2019-07-22 0 0 0 7111 
2019-07-23 0 0 0 7111 
2019-07-24 0 0 0 7111 
2019-07-25 0 0 7111 0 
2019-07-26 5250 5250 1861 8164 
2019-07-29 0 -5250 10025 0 
2019-07-30 0 0 10025 0 
2019-07-31 0 0 10025 0 
2019-08-01 0 0 10025 0 
2019-08-02 3750 3750 6275 0 
2019-08-05 0 -3750 6275 0 
2019-08-06 0 0 6275 0 
2019-08-07 0 0 6275 0 
2019-08-08 0 0 6275 0 
2019-08-09 0 0 6275 0 
2019-08-12 0 0 6275 0 
2019-08-13 0 0 6275 0 
2019-08-14 0 0 6275 0 
2019-08-15 0 0 6275 0 
2019-08-16 0 0 6275 0 
2019-08-19 0 0 6275 0 
2019-08-20 3750 3750 2525 7500 
2019-08-21 0 -3750 10025 0 
2019-08-22 0 0 10025 0 
2019-08-23 0 0 10025 0 
2019-08-26 0 0 10025 0 
2019-08-27 0 0 10025 0 
2019-08-28 0 0 10025 0 
2019-08-29 0 0 10025 0 
2019-08-30 0 0 10025 0 
2019-09-02 0 0 10025 0 
2019-09-03 0 0 10025 0 
2019-09-04 0 0 10025 0 
2019-09-05 6633 6633 3392 7676 
2019-09-06 0 -6633 11068 0 
2019-09-09 0 0 11068 0 
2019-09-10 0 0 11068 0 
2019-09-11 0 0 11068 0 
2019-09-12 0 0 11068 0 
2019-09-13 4950 4950 6118 0 
2019-09-16 0 -4950 6118 0 
2019-09-17 0 0 6118 0 
2019-09-18 0 0 6118 0 
2019-09-19 0 0 6118 0 
2019-09-20 0 0 6118 0 
2019-09-23 0 0 6118 0 
2019-09-24 4833 4833 1285 10068 
2019-09-25 0 -4833 11353 0 
2019-09-26 0 0 11353 0 
2019-09-27 0 0 11353 0 
2019-09-30 0 0 11353 0 
2019-10-01 0 0 11353 0 
2019-10-02 0 0 11353 0 
2019-10-03 0 0 11353 0 
2019-10-04 0 0 11353 0 
2019-10-07 0 0 11353 0 
2019-10-08 0 0 11353 0 
2019-10-09 0 0 11353 0 
2019-10-10 0 0 11353 0 
2019-10-11 5220 5220 6133 0 
2019-10-14 0 -5220 6133 0 
2019-10-15 0 0 6133 0 
2019-10-16 0 0 6133 0 
2019-10-17 0 0 6133 0 
2019-10-18 0 0 6133 0 
2019-10-21 0 0 6133 0 
2019-10-22 0 0 6133 0 
2019-10-23 0 0 6133 0 
2019-10-24 0 0 6133 0 
2019-10-25 0 0 6133 0 
2019-10-28 0 0 6133 0 
2019-10-29 5947 5947 186 11595 
2019-10-30 0 -5947 11781 0 
2019-10-31 0 0 11781 0 
2019-11-01 0 0 11781 0 
2019-11-04 0 0 11781 0 
2019-11-05 0 0 11781 0 
2019-11-06 0 0 11781 0 
2019-11-07 0 0 11781 0 
2019-11-08 6000 6000 5781 0 
2019-11-11 0 -6000 5781 0 
2019-11-12 0 0 5781 0 
2019-11-13 0 0 5781 0 
2019-11-14 0 0 5781 0 
