date demand demandChange inventoryPosition leadTime marketPrice orderQuantity
2019-07-02 0 0 2500 24 1.82 0 
2019-07-03 0 0 2500 96 1.82 0 
2019-07-04 0 0 2500 48 1.82 0 
2019-07-05 0 0 2500 48 1.82 0 
2019-07-08 0 0 2500 48 1.82 0 
2019-07-09 0 0 2500 96 1.82 0 
2019-07-10 0 0 2500 96 1.82 0 
2019-07-11 1079 1079 1421 72 1.82 5932 
2019-07-12 0 -1079 7353 24 1.82 0 
2019-07-15 0 0 7353 72 1.82 0 
2019-07-16 0 0 7353 96 1.75 0 
2019-07-17 1183 1183 6170 24 1.75 0 
2019-07-18 0 -1183 6170 24 1.75 0 
2019-07-19 0 0 6170 72 1.75 0 
2019-07-22 0 0 6170 72 1.75 0 
2019-07-23 1786 1786 4384 24 1.75 4180 
2019-07-24 0 -1786 8564 72 1.75 0 
2019-07-25 0 0 8564 24 1.75 0 
2019-07-26 2376 2376 6188 24 1.75 3538 
2019-07-29 2577 201 7149 24 1.75 3471 
2019-07-30 0 -2577 10620 72 1.87 0 
2019-07-31 0 0 10620 24 1.87 0 
2019-08-01 0 0 10620 72 1.87 0 
2019-08-02 0 0 10620 96 1.87 0 
2019-08-05 0 0 10620 48 1.87 0 
2019-08-06 2235 2235 8385 72 1.87 0 
2019-08-07 0 -2235 8385 72 1.87 0 
2019-08-08 1483 1483 8385 24 1.87 0 
2019-08-09 1472 -11 6913 24 1.87 3484 
2019-08-12 0 -1472 10397 24 1.87 0 
2019-08-13 0 0 10397 96 1.95 0 
2019-08-14 0 0 10397 96 1.95 0 
2019-08-15 1435 1435 8962 24 1.95 0 
2019-08-16 1663 228 7299 24 1.95 3000 
2019-08-19 0 -1663 10299 96 1.95 0 
2019-08-20 0 0 10299 24 1.95 0 
2019-08-21 0 0 10299 72 1.95 0 
2019-08-22 0 0 10299 24 1.95 0 
2019-08-23 0 0 10299 96 1.95 0 
2019-08-26 2739 2739 7560 24 1.95 3304 
2019-08-27 0 -2739 10864 24 1.79 0 
2019-08-28 0 0 10864 48 1.79 0 
2019-08-29 2004 2004 8860 72 1.79 0 
2019-08-30 0 -2004 8860 24 1.79 0 
2019-09-02 0 0 8860 96 1.79 0 
2019-09-03 1345 1345 7515 48 1.79 3145 
2019-09-04 2554 1209 8106 24 1.79 0 
2019-09-05 0 -2554 8106 96 1.79 0 
2019-09-06 0 0 8106 48 1.79 0 
2019-09-09 0 0 8106 24 1.79 0 
2019-09-10 0 0 8106 96 1.66 0 
2019-09-11 0 0 8106 72 1.66 0 
2019-09-12 1355 1355 6751 24 1.66 4045 
2019-09-13 0 -1355 10796 48 1.66 0 
2019-09-16 0 0 10796 24 1.66 0 
2019-09-17 0 0 10796 48 1.66 0 
2019-09-18 0 0 10796 72 1.66 0 
2019-09-19 2892 2892 7904 24 1.66 3076 
2019-09-20 0 -2892 10980 72 1.66 0 
2019-09-23 0 0 10980 24 1.66 0 
2019-09-24 0 0 10980 24 1.66 0 
2019-09-25 0 0 10980 48 1.66 0 
2019-09-26 0 0 10980 24 1.66 0 
2019-09-27 3444 3444 7536 24 1.66 3717 
2019-09-30 0 -3444 11253 24 1.66 0 
2019-10-01 1074 1074 10179 72 1.66 0 
2019-10-02 1617 543 8562 72 1.66 0 
2019-10-03 1826 209 6736 96 1.66 4246 
2019-10-04 0 -1826 10982 24 1.66 0 
2019-10-07 0 0 10982 48 1.66 0 
2019-10-08 0 0 10982 96 1.92 0 
2019-10-09 0 0 10982 24 1.92 0 
2019-10-10 0 0 10982 96 1.92 0 
2019-10-11 0 0 10982 72 1.92 0 
2019-10-14 0 0 10982 72 1.92 0 
2019-10-15 0 0 10982 48 1.92 0 
2019-10-16 1399 1399 9583 24 1.92 0 
2019-10-17 0 -1399 9583 96 1.92 0 
2019-10-18 2535 2535 7048 24 1.92 4030 
2019-10-21 0 -2535 11078 48 1.92 0 
2019-10-22 0 0 11078 72 2.13 0 
2019-10-23 1955 1955 9123 24 2.13 0 
2019-10-24 0 -1955 9123 48 2.13 0 
2019-10-25 0 0 9123 24 2.13 0 
2019-10-28 3255 3255 5868 24 2.13 5362 
2019-10-29 1854 -1401 9376 24 2.13 0 
2019-10-30 0 -1854 9376 96 2.13 0 
2019-10-31 0 0 9376 24 2.13 0 
2019-11-01 0 0 9376 24 2.13 0 
2019-11-04 0 0 9376 96 2.13 0 
2019-11-05 0 0 9376 24 2.3 0 
2019-11-06 0 0 9376 24 2.3 0 
2019-11-07 0 0 9376 48 2.3 0 
2019-11-08 1560 1560 7816 24 2.3 3276 
2019-11-11 1223 -337 9869 72 2.3 0 
2019-11-12 2652 1429 7217 72 2.3 3886 
2019-11-13 0 -2652 11103 96 2.3 0 
2019-11-14 0 0 11103 48 2.3 0 
2019-11-15 2705 2705 8398 24 2.3 0 
2019-11-18 0 -2705 8398 48 2.3 0 
2019-11-19 0 0 8398 48 2.43 0 
2019-11-20 0 0 8398 24 2.43 0 
2019-11-21 1027 1027 7371 48 2.43 3636 
2019-11-22 0 -1027 11007 96 2.43 0 
2019-11-25 0 0 11007 48 2.43 0 
2019-11-26 1605 1605 9402 48 2.43 0 
2019-11-27 0 -1605 9402 48 2.43 0 
2019-11-28 0 0 9402 72 2.43 0 
2019-11-29 0 0 9402 72 2.43 0 
2019-12-02 0 0 9402 72 2.43 0 
2019-12-03 2388 2388 7014 24 2.53 4009 
2019-12-04 1025 -1363 9998 24 2.53 0 
2019-12-05 0 -1025 9998 72 2.53 0 
2019-12-06 0 0 9998 72 2.53 0 
2019-12-09 0 0 9998 24 2.53 0 
2019-12-10 2666 2666 7332 24 2.53 3617 
2019-12-11 0 -2666 10949 24 2.53 0 
2019-12-12 1584 1584 9365 72 2.53 0 
2019-12-13 0 -1584 9365 72 2.53 0 
2019-12-16 0 0 9365 96 2.53 0 
2019-12-17 0 0 9365 72 2.36 0 
2019-12-18 5018 5018 4347 24 2.36 7005 
2019-12-19 0 -5018 11352 96 2.36 0 
2019-12-20 0 0 11352 96 2.36 0 
2019-12-23 0 0 11352 24 2.36 0 
2019-12-24 0 0 11352 48 2.36 0 
2019-12-25 1735 1735 9617 24 2.36 0 
2019-12-26 2326 591 7291 48 2.36 4097 
2019-12-27 0 -2326 11388 72 2.36 0 
2019-12-30 0 0 11388 96 2.36 0 
2019-12-31 2604 2604 8784 48 2.41 0 
2020-01-01 0 -2604 8784 96 2.41 0 
2020-01-02 0 0 8784 24 2.41 0 
2020-01-03 0 0 8784 24 2.41 0 
2020-01-06 0 0 8784 96 2.41 0 
2020-01-07 3816 3816 4968 96 2.41 6859 
2020-01-08 1856 -1960 9971 48 2.41 0 
2020-01-09 0 -1856 9971 96 2.41 0 
2020-01-10 0 0 9971 24 2.41 0 
2020-01-13 0 0 9971 96 2.41 0 
2020-01-14 2731 2731 7240 72 2.41 4697 
2020-01-15 0 -2731 11937 24 2.24 0 
2020-01-16 0 0 11937 96 2.24 0 
2020-01-17 0 0 11937 24 2.24 0 
2020-01-20 1018 1018 10919 96 2.24 0 
2020-01-21 0 -1018 10919 24 2.24 0 
2020-01-22 0 0 10919 24 2.24 0 
2020-01-23 0 0 10919 24 2.24 0 
2020-01-24 0 0 10919 48 2.24 0 
2020-01-27 0 0 10919 96 2.24 0 
2020-01-28 2627 2627 8292 72 2.24 3616 
2020-01-29 0 -2627 11908 72 2.24 0 
2020-01-30 2420 2420 9488 24 2.06 0 
2020-01-31 0 -2420 9488 72 2.06 0 
2020-02-03 0 0 9488 72 2.06 0 
2020-02-04 3214 3214 6274 96 2.06 5825 
2020-02-05 0 -3214 12099 48 2.06 0 
2020-02-06 0 0 12099 48 2.06 0 
2020-02-07 0 0 12099 96 2.06 0 
2020-02-10 4762 4762 7337 96 2.06 5088 
2020-02-11 0 -4762 12425 48 2.06 0 
2020-02-12 1964 1964 10461 48 2.06 0 
2020-02-13 0 -1964 10461 72 1.94 0 
2020-02-14 0 0 10461 24 1.94 0 
2020-02-17 0 0 10461 72 1.94 0 
2020-02-18 3363 3363 7098 48 1.94 5368 
2020-02-19 0 -3363 12466 48 1.94 0 
2020-02-20 2106 2106 10360 72 1.94 0 
2020-02-21 0 -2106 10360 96 1.94 0 
2020-02-24 2827 2827 7533 96 1.94 5049 
2020-02-25 0 -2827 12582 96 1.94 0 
2020-02-26 2747 2747 9835 72 1.94 0 
2020-02-27 1132 -1615 8703 72 1.88 3866 
2020-02-28 1054 -78 11515 24 1.88 0 
2020-03-02 0 -1054 11515 24 1.88 0 
2020-03-03 0 0 11515 96 1.88 0 
2020-03-04 0 0 11515 24 1.88 0 
2020-03-05 0 0 11515 96 1.88 0 
2020-03-06 2618 2618 8897 72 1.88 3637 
2020-03-09 0 -2618 12534 96 1.88 0 
2020-03-10 0 0 12534 48 1.88 0 
2020-03-11 0 0 12534 24 1.88 0 
2020-03-12 0 0 12534 96 1.88 0 
2020-03-13 0 0 12534 72 1.77 0 
2020-03-16 3153 3153 9381 72 1.77 0 
2020-03-17 2009 -1144 7372 96 1.77 5301 
2020-03-18 0 -2009 12673 72 1.77 0 
2020-03-19 0 0 12673 24 1.77 0 
2020-03-20 1210 1210 11463 72 1.77 0 
2020-03-23 3568 2358 7895 24 1.77 4788 
2020-03-24 0 -3568 12683 72 1.77 0 
2020-03-25 1605 1605 11078 72 1.77 0 
2020-03-26 0 -1605 11078 24 1.77 0 
2020-03-27 0 0 11078 24 1.71 0 
2020-03-30 0 0 11078 48 1.71 0 
2020-03-31 0 0 11078 24 1.71 0 
2020-04-01 0 0 11078 72 1.71 0 
2020-04-02 0 0 11078 96 1.71 0 
2020-04-03 0 0 11078 96 1.71 0 
2020-04-06 0 0 11078 24 1.71 0 
