date demand demandChange inventoryPosition leadTime marketPrice orderQuantity
2019-07-02 0 0 20000 24 0.12 0 
2019-07-03 0 0 20000 120 0.12 0 
2019-07-04 0 0 20000 48 0.12 0 
2019-07-05 0 0 20000 24 0.12 0 
2019-07-08 0 0 20000 48 0.12 0 
2019-07-09 0 0 20000 48 0.12 0 
2019-07-10 0 0 20000 120 0.12 0 
2019-07-11 0 0 20000 48 0.12 0 
2019-07-12 0 0 20000 96 0.12 0 
2019-07-15 0 0 20000 96 0.12 0 
2019-07-16 0 0 20000 48 0.12 0 
2019-07-17 0 0 20000 24 0.12 0 
2019-07-18 0 0 20000 48 0.12 0 
2019-07-19 0 0 20000 24 0.12 0 
2019-07-22 0 0 20000 48 0.12 0 
2019-07-23 0 0 20000 120 0.12 0 
2019-07-24 0 0 20000 24 0.12 0 
2019-07-25 0 0 20000 48 0.12 0 
2019-07-26 7918 7918 12082 24 0.12 40175 
2019-07-29 15195 7277 37062 48 0.12 34648 
2019-07-30 0 -15195 71710 96 0.12 0 
2019-07-31 0 0 71710 24 0.12 0 
2019-08-01 0 0 71710 72 0.12 0 
2019-08-02 16264 16264 55446 48 0.12 24084 
2019-08-05 3465 -12799 76065 24 0.12 0 
2019-08-06 18782 15317 57283 120 0.12 19959 
2019-08-07 40437 21655 36805 96 0.12 67183 
2019-08-08 26035 -14402 103988 120 0.12 0 
2019-08-09 26049 14 103988 96 0.12 0 
2019-08-12 7212 -18837 96776 72 0.12 0 
2019-08-13 11366 4154 96776 96 0.12 0 
2019-08-14 17651 6285 79125 24 0.12 29672 
2019-08-15 0 -17651 108797 48 0.12 0 
2019-08-16 9311 9311 99486 24 0.12 0 
2019-08-19 0 -9311 99486 48 0.12 0 
2019-08-20 9410 9410 90076 120 0.12 0 
2019-08-21 6572 -2838 83504 120 0.12 0 
2019-08-22 0 -6572 83504 48 0.12 0 
2019-08-23 14260 14260 69244 48 0.12 28604 
2019-08-26 20864 6604 76984 24 0.12 22299 
2019-08-27 0 -20864 99283 48 0.12 0 
2019-08-28 8532 8532 90751 24 0.12 0 
2019-08-29 6679 -1853 84072 48 0.12 0 
2019-08-30 14063 7384 70009 48 0.12 21778 
2019-09-02 0 -14063 91787 24 0.12 0 
2019-09-03 0 0 91787 48 0.12 0 
2019-09-04 5323 5323 86464 96 0.12 0 
2019-09-05 0 -5323 86464 72 0.12 0 
2019-09-06 0 0 86464 72 0.12 0 
2019-09-09 0 0 86464 48 0.12 0 
2019-09-10 14351 14351 72113 48 0.12 0 
2019-09-11 8941 -5410 63172 48 0.12 22656 
2019-09-12 19942 11001 65886 96 0.12 21797 
2019-09-13 11486 -8456 76197 48 0.12 0 
2019-09-16 0 -11486 76197 48 0.12 0 
2019-09-17 4730 4730 71467 48 0.12 0 
2019-09-18 0 -4730 71467 48 0.12 0 
2019-09-19 24497 24497 46970 24 0.12 38441 
2019-09-20 4285 -20212 81126 24 0.12 0 
2019-09-23 18783 14498 62343 24 0.12 21459 
2019-09-24 0 -18783 83802 48 0.12 0 
2019-09-25 0 0 83802 96 0.12 0 
2019-09-26 0 0 83802 48 0.12 0 
2019-09-27 23725 23725 60077 96 0.12 25762 
2019-09-30 0 -23725 85839 24 0.12 0 
2019-10-01 14126 14126 71713 120 0.12 0 
2019-10-02 21964 7838 49749 96 0.12 38695 
2019-10-03 6085 -15879 82359 96 0.12 0 
2019-10-04 0 -6085 82359 24 0.12 0 
2019-10-07 4304 4304 78055 24 0.12 0 
2019-10-08 0 -4304 78055 48 0.12 0 
2019-10-09 6885 6885 71170 24 0.12 0 
2019-10-10 0 -6885 71170 24 0.12 0 
2019-10-11 5460 5460 65710 48 0.12 0 
2019-10-14 0 -5460 65710 120 0.12 0 
2019-10-15 29295 29295 36415 24 0.12 48468 
2019-10-16 3917 -25378 80966 24 0.12 0 
2019-10-17 0 -3917 80966 48 0.12 0 
2019-10-18 16793 16793 64173 120 0.12 20137 
2019-10-21 0 -16793 84310 96 0.12 0 
