date demand demandChange inventoryPosition orderQuantity
2019-07-02 0 0 3000 0 
2019-07-03 0 0 3000 0 
2019-07-04 0 0 3000 0 
2019-07-05 0 0 3000 0 
2019-07-08 0 0 3000 0 
2019-07-09 0 0 3000 0 
2019-07-10 0 0 3000 0 
2019-07-11 0 0 3000 0 
2019-07-12 0 0 3000 0 
2019-07-15 0 0 3000 0 
2019-07-16 0 0 3000 0 
2019-07-17 0 0 3000 0 
2019-07-18 0 0 3000 0 
2019-07-19 0 0 3000 0 
2019-07-22 0 0 3000 0 
2019-07-23 3750 3750 3000 6308 
2019-07-24 0 -3750 9308 0 
2019-07-25 0 0 9308 0 
2019-07-26 0 0 9308 0 
2019-07-29 0 0 9308 0 
2019-07-30 0 0 9308 0 
2019-07-31 4500 4500 4808 0 
2019-08-01 0 -4500 4808 0 
2019-08-02 0 0 4808 0 
2019-08-05 0 0 4808 0 
2019-08-06 0 0 4808 0 
2019-08-07 3750 3750 1058 8682 
2019-08-08 0 -3750 9740 0 
2019-08-09 0 0 9740 0 
2019-08-12 0 0 9740 0 
2019-08-13 0 0 9740 0 
2019-08-14 0 0 9740 0 
2019-08-15 0 0 9740 0 
2019-08-16 3750 3750 5990 0 
2019-08-19 0 -3750 5990 0 
2019-08-20 0 0 5990 0 
2019-08-21 0 0 5990 0 
2019-08-22 3000 3000 2990 6318 
2019-08-23 0 -3000 9308 0 
2019-08-26 0 0 9308 0 
2019-08-27 0 0 9308 0 
2019-08-28 0 0 9308 0 
2019-08-29 0 0 9308 0 
2019-08-30 0 0 9308 0 
2019-09-02 0 0 9308 0 
2019-09-03 0 0 9308 0 
2019-09-04 4844 4844 4464 0 
2019-09-05 0 -4844 4464 0 
2019-09-06 0 0 4464 0 
2019-09-09 0 0 4464 0 
2019-09-10 0 0 4464 0 
2019-09-11 0 0 4464 0 
2019-09-12 0 0 4464 0 
2019-09-13 0 0 4464 0 
2019-09-16 4072 4072 392 9267 
2019-09-17 0 -4072 9659 0 
2019-09-18 0 0 9659 0 
2019-09-19 0 0 9659 0 
2019-09-20 0 0 9659 0 
2019-09-23 3750 3750 5909 0 
2019-09-24 0 -3750 5909 0 
2019-09-25 0 0 5909 0 
2019-09-26 0 0 5909 0 
2019-09-27 0 0 5909 0 
2019-09-30 0 0 5909 0 
2019-10-01 0 0 5909 0 
2019-10-02 4083 4083 1826 7819 
2019-10-03 0 -4083 9645 0 
2019-10-04 0 0 9645 0 
2019-10-07 0 0 9645 0 
2019-10-08 0 0 9645 0 
2019-10-09 0 0 9645 0 
2019-10-10 4500 4500 5145 0 
2019-10-11 0 -4500 5145 0 
2019-10-14 0 0 5145 0 
2019-10-15 0 0 5145 0 
2019-10-16 0 0 5145 0 
2019-10-17 0 0 5145 0 
2019-10-18 0 0 5145 0 
2019-10-21 0 0 5145 0 
2019-10-22 0 0 5145 0 
2019-10-23 0 0 5145 0 
