date demand demandChange inventoryPosition orderQuantity
2019-07-02 0 0 3000 0 
2019-07-03 0 0 3000 0 
2019-07-04 0 0 3000 0 
2019-07-05 0 0 3000 0 
2019-07-08 0 0 3000 0 
2019-07-09 0 0 3000 0 
2019-07-10 0 0 3000 0 
2019-07-11 0 0 3000 0 
2019-07-12 0 0 3000 0 
2019-07-15 0 0 3000 0 
2019-07-16 0 0 3000 0 
2019-07-17 3000 3000 0 6696 
2019-07-18 0 -3000 6696 0 
2019-07-19 0 0 6696 0 
2019-07-22 0 0 6696 0 
2019-07-23 3000 3000 3696 0 
2019-07-24 0 -3000 3696 0 
2019-07-25 1500 1500 2196 3678 
2019-07-26 0 -1500 5874 0 
2019-07-29 0 0 5874 0 
2019-07-30 0 0 5874 0 
2019-07-31 0 0 5874 0 
2019-08-01 3750 3750 2124 4267 
2019-08-02 0 -3750 6391 0 
2019-08-05 0 0 6391 0 
2019-08-06 2250 2250 4141 0 
2019-08-07 0 -2250 4141 0 
2019-08-08 0 0 4141 0 
2019-08-09 0 0 4141 0 
2019-08-12 0 0 4141 0 
2019-08-13 0 0 4141 0 
2019-08-14 2250 2250 1891 4191 
2019-08-15 0 -2250 6082 0 
2019-08-16 0 0 6082 0 
2019-08-19 0 0 6082 0 
2019-08-20 0 0 6082 0 
2019-08-21 0 0 6082 0 
2019-08-22 3345 3345 2737 0 
2019-08-23 1905 -1440 832 5250 
2019-08-26 0 -1905 6082 0 
2019-08-27 0 0 6082 0 
2019-08-28 0 0 6082 0 
2019-08-29 3000 3000 3082 0 
2019-08-30 0 -3000 3082 0 
2019-09-02 0 0 3082 0 
2019-09-03 0 0 3082 0 
2019-09-04 0 0 3082 0 
2019-09-05 3750 3750 3082 0 
2019-09-06 0 -3750 3082 0 
2019-09-09 0 0 3082 0 
2019-09-10 0 0 3082 0 
2019-09-11 3000 3000 82 6282 
2019-09-12 0 -3000 6364 0 
2019-09-13 0 0 6364 0 
2019-09-16 0 0 6364 0 
2019-09-17 3000 3000 3364 0 
2019-09-18 0 -3000 3364 0 
2019-09-19 0 0 3364 0 
2019-09-20 0 0 3364 0 
2019-09-23 2499 2499 865 5487 
2019-09-24 0 -2499 6352 0 
2019-09-25 0 0 6352 0 
2019-09-26 0 0 6352 0 
2019-09-27 3000 3000 3352 0 
2019-09-30 0 -3000 3352 0 
2019-10-01 0 0 3352 0 
2019-10-02 0 0 3352 0 
2019-10-03 0 0 3352 0 
2019-10-04 3750 3750 3352 0 
2019-10-07 0 -3750 3352 0 
2019-10-08 0 0 3352 0 
2019-10-09 0 0 3352 0 
2019-10-10 0 0 3352 0 
2019-10-11 0 0 3352 0 
2019-10-14 0 0 3352 0 
2019-10-15 0 0 3352 0 
2019-10-16 3315 3315 37 6488 
2019-10-17 0 -3315 6525 0 
2019-10-18 0 0 6525 0 
2019-10-21 0 0 6525 0 
2019-10-22 0 0 6525 0 
