date demand demandChange inventoryPosition orderQuantity
2019-07-02 0 0 3000 0 
2019-07-03 0 0 3000 0 
2019-07-04 0 0 3000 0 
2019-07-05 0 0 3000 0 
2019-07-08 0 0 3000 0 
2019-07-09 1500 1500 1500 2619 
2019-07-10 750 -750 3369 0 
2019-07-11 750 0 2619 0 
2019-07-12 0 -750 2619 0 
2019-07-15 0 0 2619 0 
2019-07-16 0 0 2619 0 
2019-07-17 3000 3000 2619 0 
2019-07-18 0 -3000 2619 0 
2019-07-19 0 0 2619 0 
2019-07-22 0 0 2619 0 
2019-07-23 3000 3000 2619 0 
2019-07-24 0 -3000 2619 0 
2019-07-25 0 0 2619 0 
2019-07-26 0 0 2619 0 
2019-07-29 0 0 2619 0 
2019-07-30 0 0 2619 0 
2019-07-31 4500 4500 2619 0 
2019-08-01 0 -4500 2619 0 
2019-08-02 0 0 2619 0 
2019-08-05 0 0 2619 0 
2019-08-06 0 0 2619 0 
2019-08-07 0 0 2619 0 
2019-08-08 0 0 2619 0 
2019-08-09 0 0 2619 0 
2019-08-12 0 0 2619 0 
2019-08-13 0 0 2619 0 
2019-08-14 0 0 2619 0 
2019-08-15 0 0 2619 0 
2019-08-16 3000 3000 2619 0 
2019-08-19 0 -3000 2619 0 
2019-08-20 0 0 2619 0 
2019-08-21 0 0 2619 0 
2019-08-22 0 0 2619 0 
2019-08-23 0 0 2619 0 
2019-08-26 4315 4315 2619 0 
2019-08-27 0 -4315 2619 0 
2019-08-28 0 0 2619 0 
2019-08-29 0 0 2619 0 
2019-08-30 0 0 2619 0 
2019-09-02 3935 3935 2619 3677 
2019-09-03 0 -3935 6296 0 
2019-09-04 0 0 6296 0 
2019-09-05 0 0 6296 0 
2019-09-06 0 0 6296 0 
2019-09-09 0 0 6296 0 
2019-09-10 0 0 6296 0 
2019-09-11 4369 4369 1927 4634 
2019-09-12 0 -4369 6561 0 
2019-09-13 0 0 6561 0 
2019-09-16 0 0 6561 0 
2019-09-17 3881 3881 2680 4024 
2019-09-18 0 -3881 6704 0 
2019-09-19 1500 1500 5204 0 
2019-09-20 0 -1500 5204 0 
2019-09-23 0 0 5204 0 
2019-09-24 0 0 5204 0 
2019-09-25 0 0 5204 0 
2019-09-26 3750 3750 1454 5157 
2019-09-27 0 -3750 6611 0 
2019-09-30 0 0 6611 0 
2019-10-01 0 0 6611 0 
2019-10-02 0 0 6611 0 
2019-10-03 3431 3431 3180 0 
2019-10-04 0 -3431 3180 0 
2019-10-07 0 0 3180 0 
2019-10-08 0 0 3180 0 
2019-10-09 3319 3319 3180 0 
2019-10-10 0 -3319 3180 0 
2019-10-11 0 0 3180 0 
2019-10-14 0 0 3180 0 
2019-10-15 0 0 3180 0 
2019-10-16 0 0 3180 0 
2019-10-17 0 0 3180 0 
2019-10-18 0 0 3180 0 
2019-10-21 0 0 3180 0 
2019-10-22 0 0 3180 0 
