date demand demandChange inventoryPosition orderQuantity
2020-03-09 0 -3834 6666 0 
2020-03-10 0 0 6666 0 
2020-03-11 0 0 6666 0 
2020-03-12 0 0 6666 0 
2020-03-13 0 0 6666 0 
2020-03-16 0 0 6666 0 
2020-03-17 2675 2675 3991 0 
2020-03-18 0 -2675 3991 0 
2020-03-19 0 0 3991 0 
2020-03-20 0 0 3991 0 
2020-03-23 0 0 3991 0 
2020-03-24 3136 3136 855 5823 
2020-03-25 0 -3136 6678 0 
2020-03-26 0 0 6678 0 
2020-03-27 0 0 6678 0 
2020-03-30 2814 2814 3864 0 
2020-03-31 0 -2814 3864 0 
2020-04-01 0 0 3864 0 
2020-04-02 0 0 3864 0 
2020-04-03 1670 1670 2194 4428 
2020-04-06 0 -1670 6622 0 
2020-04-07 0 0 6622 0 
2020-04-08 0 0 6622 0 
2020-04-09 3000 3000 3622 0 
2020-04-10 0 -3000 3622 0 
2020-04-13 0 0 3622 0 
2020-04-14 0 0 3622 0 
2020-04-15 0 0 3622 0 
2020-04-16 0 0 3622 0 
2020-04-17 0 0 3622 0 
2020-04-20 3214 3214 408 6246 
2020-04-21 0 -3214 6654 0 
2020-04-22 0 0 6654 0 
2020-04-23 0 0 6654 0 
2020-04-24 2237 2237 4417 0 
2020-04-27 0 -2237 4417 0 
2020-04-28 0 0 4417 0 
2020-04-29 0 0 4417 0 
2020-04-30 2612 2612 1805 4817 
2020-05-01 0 -2612 6622 0 
2020-05-04 0 0 6622 0 
2020-05-05 0 0 6622 0 
2020-05-06 0 0 6622 0 
2020-05-07 2838 2838 3784 0 
2020-05-08 0 -2838 3784 0 
2020-05-11 0 0 3784 0 
